phase_num,drug_success_rate,drug_n_uses,disease_success_rate,disease_n_uses,is_rare,success
4.0,1.0,5,1.0,3,1,1
4.0,1.0,5,1.0,3,1,1
4.0,1.0,5,1.0,6,0,1
4.0,1.0,5,1.0,10,0,1
4.0,1.0,5,1.0,3,1,1
4.0,1.0,1,1.0,1,1,1
4.0,0.5,2,0.9629629629629629,27,0,1
4.0,0.18181818181818182,11,1.0,4,0,1
4.0,0.18181818181818182,11,1.0,10,0,1
4.0,1.0,1,1.0,4,0,1
4.0,1.0,1,0.6666666666666666,3,1,1
4.0,1.0,1,1.0,6,0,1
4.0,1.0,5,1.0,27,0,1
4.0,1.0,5,1.0,19,0,1
4.0,1.0,5,1.0,13,0,1
4.0,1.0,5,1.0,10,0,1
4.0,1.0,5,1.0,37,0,1
4.0,0.8333333333333334,6,1.0,34,0,1
4.0,0.8333333333333334,6,0.9166666666666666,12,0,1
4.0,0.8333333333333334,6,1.0,4,0,1
4.0,0.8333333333333334,6,1.0,3,1,1
4.0,0.8333333333333334,6,1.0,6,0,1
4.0,1.0,3,1.0,1,1,1
4.0,1.0,3,1.0,4,0,1
4.0,1.0,3,1.0,1,1,1
4.0,1.0,1,1.0,6,0,1
4.0,0.4,5,1.0,4,0,1
4.0,0.4,5,1.0,10,0,1
4.0,0.75,8,1.0,48,0,1
4.0,0.75,8,1.0,23,0,1
4.0,0.75,8,1.0,43,0,1
4.0,0.75,8,1.0,72,0,1
4.0,0.75,8,1.0,14,0,1
4.0,0.75,8,1.0,37,0,1
4.0,1.0,4,0.9166666666666666,12,0,1
4.0,1.0,4,1.0,3,1,1
4.0,1.0,4,0.8,5,0,1
4.0,1.0,4,1.0,4,0,1
4.0,1.0,5,1.0,26,0,1
4.0,1.0,5,1.0,3,1,1
4.0,1.0,5,1.0,3,1,1
4.0,1.0,5,1.0,6,0,1
4.0,1.0,5,1.0,6,0,1
4.0,0.8571428571428571,7,1.0,3,1,1
4.0,0.8571428571428571,7,1.0,1,1,1
4.0,0.8571428571428571,7,1.0,10,0,1
4.0,0.8571428571428571,7,1.0,3,1,1
4.0,0.8571428571428571,7,1.0,1,1,1
4.0,0.8571428571428571,7,1.0,4,0,1
4.0,1.0,10,1.0,1,1,1
4.0,1.0,10,1.0,2,1,1
4.0,1.0,10,0.8,5,0,1
4.0,1.0,10,1.0,2,1,1
4.0,1.0,10,1.0,10,0,1
4.0,1.0,10,0.6666666666666666,12,0,1
4.0,1.0,10,0.9166666666666666,12,0,1
4.0,1.0,10,1.0,12,0,1
4.0,1.0,10,1.0,1,1,1
4.0,1.0,10,1.0,6,0,1
4.0,0.375,16,1.0,3,1,1
4.0,0.375,16,1.0,4,0,1
4.0,0.375,16,1.0,4,0,1
4.0,0.375,16,1.0,6,0,1
4.0,0.375,16,1.0,3,1,1
4.0,0.375,16,1.0,10,0,1
4.0,1.0,2,1.0,4,0,1
4.0,1.0,2,0.9166666666666666,12,0,1
4.0,1.0,3,1.0,4,0,1
4.0,1.0,3,1.0,10,0,1
4.0,1.0,3,1.0,1,1,1
4.0,0.125,8,1.0,1,1,1
4.0,1.0,3,1.0,4,0,1
4.0,1.0,3,1.0,1,1,1
4.0,1.0,3,1.0,1,1,1
4.0,0.5,2,1.0,3,1,1
4.0,0.3076923076923077,26,1.0,12,0,1
4.0,0.3076923076923077,26,1.0,6,0,1
4.0,0.3076923076923077,26,0.8,5,0,1
4.0,0.3076923076923077,26,0.9166666666666666,12,0,1
4.0,0.3076923076923077,26,1.0,10,0,1
4.0,0.3076923076923077,26,1.0,2,1,1
4.0,0.3076923076923077,26,1.0,2,1,1
4.0,0.3076923076923077,26,0.6666666666666666,12,0,1
4.0,0.3181818181818182,22,1.0,8,0,1
4.0,0.3181818181818182,22,1.0,4,0,1
4.0,0.3181818181818182,22,1.0,11,0,1
4.0,0.3181818181818182,22,1.0,17,0,1
4.0,0.3181818181818182,22,0.9166666666666666,12,0,1
4.0,0.3181818181818182,22,1.0,10,0,1
4.0,0.3181818181818182,22,1.0,6,0,1
4.0,0.6666666666666666,3,1.0,5,0,1
4.0,0.6666666666666666,3,1.0,4,0,1
4.0,0.4,5,0.95,20,0,1
4.0,0.4,5,0.8627450980392157,102,0,1
4.0,0.375,8,1.0,8,0,1
4.0,0.375,8,0.95,20,0,1
4.0,0.375,8,0.8627450980392157,102,0,1
4.0,1.0,1,1.0,6,0,1
4.0,1.0,2,1.0,72,0,1
4.0,1.0,2,1.0,33,0,1
4.0,1.0,1,1.0,3,1,1
4.0,0.5,6,0.7619047619047619,21,0,1
4.0,0.5,6,1.0,9,0,1
4.0,0.5,6,1.0,7,0,1
4.0,0.4,5,1.0,2,1,1
4.0,0.4,5,0.5,4,0,1
4.0,0.7,10,1.0,11,0,1
4.0,0.7,10,1.0,9,0,1
4.0,0.7,10,1.0,4,0,1
4.0,0.7,10,1.0,2,1,1
4.0,0.7,10,0.85,20,0,1
4.0,0.7,10,1.0,7,0,1
4.0,0.7,10,1.0,7,0,1
4.0,0.75,4,1.0,6,0,1
4.0,0.75,4,1.0,2,1,1
4.0,0.75,4,1.0,2,1,1
4.0,0.02631578947368421,76,0.22388059701492538,67,0,1
4.0,0.02631578947368421,76,0.45454545454545453,11,0,1
4.0,1.0,1,0.9629629629629629,27,0,1
4.0,1.0,3,1.0,20,0,1
4.0,1.0,3,1.0,11,0,1
4.0,1.0,3,1.0,9,0,1
4.0,1.0,2,1.0,6,0,1
4.0,1.0,2,0.7619047619047619,21,0,1
4.0,0.6,5,0.5833333333333334,12,0,1
4.0,0.6,5,0.90625,32,0,1
4.0,0.6,5,0.6290322580645161,62,0,1
4.0,0.03333333333333333,60,1.0,2,1,1
4.0,0.03333333333333333,60,1.0,3,1,1
4.0,1.0,3,0.8627450980392157,102,0,1
4.0,1.0,3,1.0,17,0,1
4.0,1.0,3,1.0,27,0,1
4.0,0.8181818181818182,11,1.0,4,0,1
4.0,0.8181818181818182,11,1.0,3,1,1
4.0,0.8181818181818182,11,1.0,9,0,1
4.0,0.8181818181818182,11,1.0,5,0,1
4.0,0.8181818181818182,11,1.0,2,1,1
4.0,0.8181818181818182,11,1.0,7,0,1
4.0,0.8181818181818182,11,0.3333333333333333,3,1,1
4.0,0.8181818181818182,11,1.0,7,0,1
4.0,0.8181818181818182,11,1.0,6,0,1
4.0,1.0,1,1.0,4,0,1
4.0,0.925,40,1.0,1,1,1
4.0,0.925,40,1.0,4,0,1
4.0,0.925,40,1.0,31,0,1
4.0,0.925,40,1.0,11,0,1
4.0,0.925,40,1.0,19,0,1
4.0,0.925,40,1.0,7,0,1
4.0,0.925,40,0.9459459459459459,37,0,1
4.0,0.925,40,1.0,5,0,1
4.0,0.925,40,1.0,20,0,1
4.0,0.925,40,1.0,2,1,1
4.0,0.925,40,1.0,25,0,1
4.0,0.925,40,1.0,48,0,1
4.0,0.925,40,1.0,1,1,1
4.0,0.925,40,1.0,5,0,1
4.0,0.925,40,1.0,34,0,1
4.0,0.925,40,1.0,4,0,1
4.0,0.925,40,1.0,4,0,1
4.0,0.925,40,1.0,6,0,1
4.0,0.925,40,1.0,1,1,1
4.0,0.925,40,1.0,1,1,1
4.0,0.925,40,1.0,63,0,1
4.0,0.925,40,1.0,23,0,1
4.0,0.925,40,1.0,10,0,1
4.0,0.925,40,1.0,12,0,1
4.0,0.925,40,1.0,26,0,1
4.0,0.925,40,1.0,25,0,1
4.0,0.925,40,1.0,18,0,1
4.0,0.925,40,1.0,15,0,1
4.0,0.925,40,1.0,22,0,1
4.0,0.925,40,1.0,36,0,1
4.0,0.925,40,0.75,4,0,1
4.0,0.925,40,1.0,8,0,1
4.0,0.925,40,1.0,31,0,1
4.0,0.925,40,1.0,3,1,1
4.0,0.925,40,1.0,31,0,1
4.0,0.925,40,1.0,44,0,1
4.0,0.925,40,1.0,27,0,1
4.0,0.6,5,1.0,3,1,1
4.0,0.6,5,1.0,4,0,1
4.0,0.6,5,1.0,3,1,1
4.0,0.9444444444444444,18,1.0,17,0,1
4.0,0.9444444444444444,18,1.0,72,0,1
4.0,0.9444444444444444,18,0.6290322580645161,62,0,1
4.0,0.9444444444444444,18,1.0,4,0,1
4.0,0.9444444444444444,18,0.9166666666666666,12,0,1
4.0,0.9444444444444444,18,1.0,5,0,1
4.0,0.9444444444444444,18,1.0,7,0,1
4.0,0.9444444444444444,18,1.0,18,0,1
4.0,0.9444444444444444,18,1.0,37,0,1
4.0,0.9444444444444444,18,1.0,12,0,1
4.0,0.9444444444444444,18,1.0,48,0,1
4.0,0.9444444444444444,18,1.0,43,0,1
4.0,0.9444444444444444,18,1.0,13,0,1
4.0,0.9444444444444444,18,1.0,12,0,1
4.0,0.9444444444444444,18,1.0,4,0,1
4.0,0.9444444444444444,18,1.0,16,0,1
4.0,0.9444444444444444,18,1.0,1,1,1
4.0,0.2222222222222222,9,1.0,10,0,1
4.0,0.2222222222222222,9,1.0,7,0,1
4.0,0.75,4,0.16666666666666666,6,0,1
4.0,0.75,4,1.0,2,1,1
4.0,0.75,4,1.0,3,1,1
4.0,1.0,2,1.0,8,0,1
4.0,1.0,2,0.8627450980392157,102,0,1
4.0,1.0,24,1.0,3,1,1
4.0,1.0,24,1.0,19,0,1
4.0,1.0,24,1.0,5,0,1
4.0,1.0,24,1.0,4,0,1
4.0,1.0,24,1.0,31,0,1
4.0,1.0,24,1.0,12,0,1
4.0,1.0,24,1.0,5,0,1
4.0,1.0,24,1.0,34,0,1
4.0,1.0,24,1.0,26,0,1
4.0,1.0,24,1.0,8,0,1
4.0,1.0,24,1.0,25,0,1
4.0,1.0,24,1.0,11,0,1
4.0,1.0,24,1.0,18,0,1
4.0,1.0,24,0.9459459459459459,37,0,1
4.0,1.0,24,1.0,4,0,1
4.0,1.0,24,1.0,6,0,1
4.0,1.0,24,1.0,23,0,1
4.0,1.0,24,1.0,15,0,1
4.0,1.0,24,1.0,48,0,1
4.0,1.0,24,1.0,16,0,1
4.0,1.0,24,1.0,11,0,1
4.0,1.0,24,1.0,1,1,1
4.0,1.0,24,1.0,45,0,1
4.0,1.0,24,1.0,20,0,1
4.0,0.3333333333333333,3,1.0,2,1,1
4.0,1.0,4,1.0,6,0,1
4.0,1.0,4,1.0,8,0,1
4.0,1.0,4,1.0,7,0,1
4.0,1.0,4,1.0,7,0,1
4.0,1.0,1,1.0,25,0,1
4.0,1.0,1,1.0,1,1,1
4.0,1.0,5,1.0,7,0,1
4.0,1.0,5,1.0,9,0,1
4.0,1.0,5,1.0,18,0,1
4.0,1.0,5,0.6,5,0,1
4.0,1.0,5,1.0,27,0,1
4.0,0.8,5,0.8627450980392157,102,0,1
4.0,0.8,5,1.0,15,0,1
4.0,0.8,5,1.0,8,0,1
4.0,0.8,5,1.0,4,0,1
4.0,0.3333333333333333,9,0.8888888888888888,9,0,1
4.0,0.3333333333333333,9,0.92,25,0,1
4.0,0.3333333333333333,9,0.6176470588235294,34,0,1
4.0,1.0,1,1.0,16,0,1
4.0,0.9565217391304348,23,1.0,12,0,1
4.0,0.9565217391304348,23,1.0,11,0,1
4.0,0.9565217391304348,23,1.0,20,0,1
4.0,0.9565217391304348,23,1.0,16,0,1
4.0,0.9565217391304348,23,1.0,32,0,1
4.0,0.9565217391304348,23,1.0,15,0,1
4.0,0.9565217391304348,23,1.0,45,0,1
4.0,0.9565217391304348,23,1.0,18,0,1
4.0,0.9565217391304348,23,1.0,14,0,1
4.0,0.9565217391304348,23,1.0,48,0,1
4.0,0.9565217391304348,23,1.0,34,0,1
4.0,0.9565217391304348,23,1.0,63,0,1
4.0,0.9565217391304348,23,1.0,32,0,1
4.0,0.9565217391304348,23,1.0,15,0,1
4.0,0.9565217391304348,23,1.0,5,0,1
4.0,0.9565217391304348,23,0.9459459459459459,37,0,1
4.0,0.9565217391304348,23,1.0,23,0,1
4.0,0.9565217391304348,23,1.0,36,0,1
4.0,0.9565217391304348,23,1.0,18,0,1
4.0,0.9565217391304348,23,1.0,22,0,1
4.0,0.9565217391304348,23,1.0,1,1,1
4.0,0.9565217391304348,23,1.0,1,1,1
4.0,0.5,2,0.8787878787878788,33,0,1
4.0,1.0,1,0.918918918918919,37,0,1
4.0,1.0,12,1.0,28,0,1
4.0,1.0,12,1.0,24,0,1
4.0,1.0,12,1.0,34,0,1
4.0,1.0,12,1.0,27,0,1
4.0,1.0,12,1.0,24,0,1
4.0,1.0,12,0.967741935483871,31,0,1
4.0,1.0,12,1.0,24,0,1
4.0,1.0,12,1.0,23,0,1
4.0,1.0,12,1.0,27,0,1
4.0,1.0,12,1.0,25,0,1
4.0,1.0,12,1.0,34,0,1
4.0,1.0,12,1.0,18,0,1
4.0,1.0,1,0.8787878787878788,33,0,1
4.0,1.0,1,0.8627450980392157,102,0,1
4.0,0.6363636363636364,11,1.0,11,0,1
4.0,0.6363636363636364,11,0.6470588235294118,17,0,1
4.0,0.6363636363636364,11,1.0,17,0,1
4.0,0.6363636363636364,11,1.0,3,1,1
4.0,0.6363636363636364,11,1.0,10,0,1
4.0,0.6363636363636364,11,0.9166666666666666,12,0,1
4.0,0.6363636363636364,11,1.0,6,0,1
4.0,0.3076923076923077,13,1.0,3,1,1
4.0,0.3076923076923077,13,0.75,4,0,1
4.0,0.3076923076923077,13,1.0,5,0,1
4.0,0.3076923076923077,13,0.8888888888888888,9,0,1
4.0,1.0,1,0.9629629629629629,27,0,1
4.0,1.0,3,0.8627450980392157,102,0,1
4.0,1.0,3,1.0,4,0,1
4.0,1.0,3,1.0,15,0,1
4.0,0.5,4,1.0,10,0,1
4.0,0.5,4,1.0,13,0,1
4.0,0.3333333333333333,3,0.92,25,0,1
4.0,0.3333333333333333,3,1.0,8,0,1
4.0,1.0,3,1.0,7,0,1
4.0,1.0,3,1.0,4,0,1
4.0,1.0,3,0.9629629629629629,27,0,1
4.0,1.0,1,0.8787878787878788,33,0,1
4.0,1.0,4,1.0,21,0,1
4.0,1.0,4,1.0,14,0,1
4.0,1.0,4,1.0,19,0,1
4.0,1.0,4,1.0,22,0,1
4.0,1.0,12,1.0,27,0,1
4.0,1.0,12,1.0,27,0,1
4.0,1.0,12,0.967741935483871,31,0,1
4.0,1.0,12,1.0,34,0,1
4.0,1.0,12,1.0,28,0,1
4.0,1.0,12,1.0,23,0,1
4.0,1.0,12,1.0,18,0,1
4.0,1.0,12,1.0,24,0,1
4.0,1.0,12,1.0,34,0,1
4.0,1.0,12,1.0,25,0,1
4.0,1.0,12,1.0,24,0,1
4.0,1.0,12,1.0,24,0,1
4.0,1.0,1,1.0,4,0,1
4.0,1.0,1,1.0,2,1,1
4.0,0.25,4,1.0,13,0,1
4.0,0.5714285714285714,7,1.0,3,1,1
4.0,0.5714285714285714,7,0.6111111111111112,18,0,1
4.0,0.5714285714285714,7,1.0,2,1,1
4.0,0.5714285714285714,7,1.0,1,1,1
4.0,1.0,4,1.0,5,0,1
4.0,1.0,4,1.0,9,0,1
4.0,1.0,4,1.0,20,0,1
4.0,1.0,4,1.0,11,0,1
4.0,0.6666666666666666,6,1.0,11,0,1
4.0,0.6666666666666666,6,0.75,40,0,1
4.0,0.6666666666666666,6,1.0,7,0,1
4.0,0.6666666666666666,6,1.0,12,0,1
4.0,1.0,1,1.0,2,1,1
4.0,1.0,1,1.0,3,1,1
4.0,0.75,4,1.0,25,0,1
4.0,0.75,4,1.0,2,1,1
4.0,0.75,4,1.0,10,0,1
4.0,1.0,1,1.0,9,0,1
4.0,1.0,10,1.0,7,0,1
4.0,1.0,10,1.0,14,0,1
4.0,1.0,10,0.6206896551724138,29,0,1
4.0,1.0,10,1.0,1,1,1
4.0,1.0,10,1.0,4,0,1
4.0,1.0,10,1.0,5,0,1
4.0,1.0,10,1.0,11,0,1
4.0,1.0,10,1.0,7,0,1
4.0,1.0,10,1.0,11,0,1
4.0,1.0,10,1.0,10,0,1
4.0,1.0,10,1.0,10,0,1
4.0,1.0,10,1.0,8,0,1
4.0,1.0,10,1.0,7,0,1
4.0,1.0,10,1.0,10,0,1
4.0,1.0,10,1.0,13,0,1
4.0,1.0,10,1.0,12,0,1
4.0,1.0,10,1.0,10,0,1
4.0,1.0,10,1.0,7,0,1
4.0,1.0,10,1.0,7,0,1
4.0,1.0,10,1.0,56,0,1
4.0,0.9591836734693877,49,1.0,25,0,1
4.0,0.9591836734693877,49,1.0,63,0,1
4.0,0.9591836734693877,49,1.0,8,0,1
4.0,0.9591836734693877,49,1.0,2,1,1
4.0,0.9591836734693877,49,1.0,7,0,1
4.0,0.9591836734693877,49,1.0,7,0,1
4.0,0.9591836734693877,49,1.0,26,0,1
4.0,0.9591836734693877,49,1.0,6,0,1
4.0,0.9591836734693877,49,1.0,3,1,1
4.0,0.9591836734693877,49,1.0,7,0,1
4.0,0.9591836734693877,49,1.0,25,0,1
4.0,0.9591836734693877,49,1.0,8,0,1
4.0,0.9591836734693877,49,1.0,2,1,1
4.0,0.9591836734693877,49,1.0,7,0,1
4.0,0.9591836734693877,49,1.0,8,0,1
4.0,0.9591836734693877,49,1.0,3,1,1
4.0,0.9591836734693877,49,1.0,4,0,1
4.0,0.9591836734693877,49,1.0,11,0,1
4.0,0.9591836734693877,49,1.0,6,0,1
4.0,0.9591836734693877,49,1.0,5,0,1
4.0,0.9591836734693877,49,1.0,21,0,1
4.0,0.9591836734693877,49,0.631578947368421,19,0,1
4.0,0.9591836734693877,49,1.0,10,0,1
4.0,0.9591836734693877,49,1.0,3,1,1
4.0,0.9591836734693877,49,1.0,20,0,1
4.0,0.9591836734693877,49,1.0,9,0,1
4.0,0.9591836734693877,49,1.0,2,1,1
4.0,0.9591836734693877,49,1.0,22,0,1
4.0,0.9591836734693877,49,1.0,2,1,1
4.0,0.9591836734693877,49,1.0,4,0,1
4.0,0.9591836734693877,49,1.0,3,1,1
4.0,0.9591836734693877,49,1.0,10,0,1
4.0,0.9591836734693877,49,1.0,2,1,1
4.0,0.9591836734693877,49,1.0,7,0,1
4.0,0.9591836734693877,49,1.0,19,0,1
4.0,0.9591836734693877,49,1.0,4,0,1
4.0,0.9591836734693877,49,1.0,5,0,1
4.0,0.9591836734693877,49,1.0,3,1,1
4.0,0.9591836734693877,49,1.0,10,0,1
4.0,0.9591836734693877,49,1.0,8,0,1
4.0,0.9591836734693877,49,1.0,15,0,1
4.0,0.9591836734693877,49,1.0,26,0,1
4.0,0.9591836734693877,49,1.0,3,1,1
4.0,0.9591836734693877,49,1.0,7,0,1
4.0,0.9591836734693877,49,1.0,7,0,1
4.0,0.9591836734693877,49,0.9459459459459459,37,0,1
4.0,0.9591836734693877,49,1.0,2,1,1
4.0,1.0,9,1.0,9,0,1
4.0,1.0,9,1.0,7,0,1
4.0,1.0,9,1.0,4,0,1
4.0,1.0,9,1.0,21,0,1
4.0,1.0,9,1.0,9,0,1
4.0,1.0,9,1.0,5,0,1
4.0,1.0,9,1.0,19,0,1
4.0,1.0,9,1.0,22,0,1
4.0,1.0,9,1.0,14,0,1
4.0,1.0,6,1.0,3,1,1
4.0,1.0,6,1.0,3,1,1
4.0,1.0,6,0.8,5,0,1
4.0,1.0,6,0.9166666666666666,12,0,1
4.0,1.0,6,1.0,5,0,1
4.0,1.0,6,1.0,3,1,1
4.0,1.0,2,1.0,3,1,1
4.0,1.0,2,1.0,9,0,1
4.0,0.6666666666666666,6,1.0,37,0,1
4.0,0.6666666666666666,6,1.0,13,0,1
4.0,0.6666666666666666,6,1.0,10,0,1
4.0,0.6666666666666666,6,1.0,19,0,1
4.0,1.0,1,1.0,1,1,1
4.0,1.0,7,1.0,1,1,1
4.0,1.0,7,0.22388059701492538,67,0,1
4.0,1.0,7,0.6896551724137931,29,0,1
4.0,1.0,7,1.0,6,0,1
4.0,1.0,7,0.5142857142857142,35,0,1
4.0,1.0,7,0.14285714285714285,7,0,1
4.0,1.0,7,1.0,2,1,1
4.0,1.0,11,1.0,6,0,1
4.0,1.0,11,1.0,31,0,1
4.0,1.0,11,1.0,11,0,1
4.0,1.0,11,1.0,8,0,1
4.0,1.0,11,1.0,18,0,1
4.0,1.0,11,1.0,2,1,1
4.0,1.0,11,1.0,9,0,1
4.0,1.0,11,1.0,10,0,1
4.0,1.0,11,1.0,4,0,1
4.0,1.0,11,1.0,5,0,1
4.0,1.0,11,1.0,44,0,1
4.0,0.5555555555555556,9,0.8627450980392157,102,0,1
4.0,0.5555555555555556,9,0.7,10,0,1
4.0,0.5555555555555556,9,0.5,12,0,1
4.0,0.5555555555555556,9,1.0,13,0,1
4.0,0.5555555555555556,9,0.95,20,0,1
4.0,1.0,2,1.0,4,0,1
4.0,1.0,2,1.0,37,0,1
4.0,1.0,4,0.7,10,0,1
4.0,1.0,4,1.0,3,1,1
4.0,1.0,4,1.0,3,1,1
4.0,1.0,4,1.0,3,1,1
4.0,1.0,2,1.0,20,0,1
4.0,1.0,2,1.0,5,0,1
4.0,1.0,1,0.8627450980392157,102,0,1
4.0,0.3333333333333333,12,1.0,7,0,1
4.0,0.3333333333333333,12,1.0,14,0,1
4.0,0.3333333333333333,12,1.0,11,0,1
4.0,0.3333333333333333,12,1.0,10,0,1
4.0,1.0,8,0.8181818181818182,22,0,1
4.0,1.0,8,1.0,32,0,1
4.0,1.0,8,1.0,63,0,1
4.0,1.0,8,1.0,26,0,1
4.0,1.0,8,1.0,44,0,1
4.0,1.0,8,1.0,36,0,1
4.0,1.0,8,1.0,45,0,1
4.0,1.0,8,1.0,26,0,1
4.0,1.0,1,0.8627450980392157,102,0,1
