drug_name,drug_id,ind_name,ind_id,status,phase,DetailedStatus
Adalimumab,DB00051,Ulcerative Colitis,C0009324,Approved,,
Adalimumab,DB00051,Chronic small plaque psoriasis,C0406317,Approved,,
Adalimumab,DB00051,Hidradenitis Suppurativa,C0162836,Approved,,
Somatropin recombinant,DB00052,Growth retardation,C0151686,Approved,,
Somatropin recombinant,DB00052,Prader-Willi Syndrome,C0032897,Approved,,
Somatropin recombinant,DB00052,Pituitary dwarfism,C0013338,Approved,,
Somatropin recombinant,DB00052,Turner Syndrome,C0041408,Approved,,
Imiglucerase,DB00053,Gaucher Disease,C0017205,Approved,,
Gemtuzumab ozogamicin,DB00056,"Leukemia, Myelocytic, Acute",C0023467,Approved,,
Pegaspargase,DB00059,Acute lymphocytic leukemia,C0023449,Approved,,
Interferon beta-1a,DB00060,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved,,
Eptifibatide,DB00063,Acute Coronary Syndrome,C0948089,Approved,,
Infliximab,DB00065,Crohn Disease,C0010346,Approved,,
Infliximab,DB00065,Ulcerative Colitis,C0009324,Approved,,
Infliximab,DB00065,Rheumatoid Arthritis,C0003873,Approved,,
Infliximab,DB00065,Ankylosing spondylitis,C0038013,Approved,,
Infliximab,DB00065,"Arthritis, Psoriatic",C0003872,Approved,,
Infliximab,DB00065,Chronic small plaque psoriasis,C0406317,Approved,,
Vasopressin,DB00067,Bedwetting,C0270327,Approved,,
Vasopressin,DB00067,von Willebrand Disease,C0042974,Approved,,
Vasopressin,DB00067,Hemophilia A,C0019069,Approved,,
Interferon beta-1b,DB00068,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved,,
Trastuzumab,DB00072,HER2-positive carcinoma of breast,C1960398,Approved,,
Trastuzumab,DB00072,Secondary malignant neoplasm of female breast,C0346993,Approved,,
Trastuzumab,DB00072,Secondary malignant neoplasm of stomach,C0686068,Approved,,
Rituximab,DB00073,"Lymphoma, Non-Hodgkin",C0024305,Approved,,
Rituximab,DB00073,Chronic Lymphocytic Leukemia,C0023434,Approved,,
Rituximab,DB00073,Rheumatoid Arthritis,C0003873,Approved,,
Basiliximab,DB00074,Renal transplant rejection,C0238217,Approved,,
Ibritumomab tiuxetan,DB00078,"Lymphoma, Follicular",C0024301,Approved,,
Daptomycin,DB00080,Right-sided Staphylococcus aureus endocarditis,C1960924,Approved,,
Daptomycin,DB00080,Sepsis due to Staphylococcus aureus,C2887088,Approved,,
Pegvisomant,DB00082,Acromegaly,C0001206,Approved,,
Pancrelipase,DB00085,Exocrine pancreatic insufficiency,C0267963,Approved,,
Alemtuzumab,DB00087,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved,,
Alglucerase,DB00088,"Gaucher Disease, Type 1",C1961835,Approved,,
Laronidase,DB00090,Mucopolysaccharidosis I,C0023786,Approved,,
Cyclosporine,DB00091,Rheumatoid Arthritis,C0003873,Approved,,
Cyclosporine,DB00091,Dry Eye Syndromes,C0013238,Approved,,
Cyclosporine,DB00091,Keratoconjunctivitis Sicca,C0022575,Approved,,
Alefacept,DB00092,Chronic small plaque psoriasis,C0406317,Approved,,
Efalizumab,DB00095,Chronic small plaque psoriasis,C0406317,Approved,,
Filgrastim,DB00099,Chemotherapy-induced neutropenia,C1827687,Approved,,
Filgrastim,DB00099,Congenital neutropenia,C0340970,Approved,,
Filgrastim,DB00099,Cyclic neutropenia,C0221023,Approved,,
Filgrastim,DB00099,Chronic idiopathic neutropenia,C2267231,Approved,,
Coagulation Factor IX,DB00100,Hemophilia B,C0008533,Approved,,
Becaplermin,DB00102,Neuropathic diabetic ulcer - foot,C0406526,Approved,,
Agalsidase beta,DB00103,Fabry Disease,C0002986,Approved,,
Octreotide,DB00104,Acromegaly,C0001206,Approved,,
Octreotide,DB00104,Malignant Carcinoid Syndrome,C0024586,Approved,,
Abarelix,DB00106,Ischemic priapism,C2711256,Approved,,
Oxytocin,DB00107,Unspecified Abortion,C0156543,Approved,,
Oxytocin,DB00107,Postpartum Hemorrhage,C0032797,Approved,,
Oxytocin,DB00107,Incomplete spontaneous abortion,C0000810,Approved,,
Natalizumab,DB00108,Multiple Sclerosis,C0026769,Approved,,
Natalizumab,DB00108,Crohn Disease,C0010346,Approved,,
Enfuvirtide,DB00109,HIV Infections,C0019693,Approved,,
Palivizumab,DB00110,Respiratory Syncytial Virus Infections,C0035235,Approved,,
Daclizumab,DB00111,Renal transplant rejection,C0238217,Approved,,
Daclizumab,DB00111,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved,,
Bevacizumab,DB00112,Secondary malignant neoplasm of colon,C0346974,Approved,,
Bevacizumab,DB00112,Nonsquamous nonsmall cell neoplasm of lung,C2585890,Approved,,
Bevacizumab,DB00112,Glioblastoma Multiforme,C1621958,Approved,,
Bevacizumab,DB00112,Metastatic Renal Cell Cancer,C0278678,Approved,,
Bevacizumab,DB00112,Cervix carcinoma,C0302592,Approved,,
Bevacizumab,DB00112,Malignant tumor of peritoneum,C0153467,Approved,,
Bevacizumab,DB00112,Malignant epithelial tumor of ovary,C0346161,Approved,,
Bevacizumab,DB00112,Malignant neoplasm of fallopian tube,C0153579,Approved,,
Cyanocobalamin,DB00115,Megaloblastic anemia due to folate deficiency,C0151482,Approved,,
Cyanocobalamin,DB00115,"Anemia, Pernicious",C0002892,Approved,,
Cyanocobalamin,DB00115,Iron deficiency anemia,C0162316,Approved,,
Cyanocobalamin,DB00115,Vitamin Deficiency,C1510471,Approved,,
Cyanocobalamin,DB00115,Vitamin B 12 Deficiency,C0042847,Approved,,
Biotin,DB00121,Biotin deficiency disease,C2937225,Approved,,
Choline,DB00122,Sleeplessness,C0917801,Approved,,
Vitamin C,DB00126,Breastfeeding (mother),C1623040,Approved,,
Vitamin C,DB00126,Vitamin Deficiency,C1510471,Approved,,
L-Aspartic Acid,DB00128,Hypokalemia,C0020621,Approved,,
L-Glutamine,DB00130,Short Bowel Syndrome,C0036992,Approved,,
Adenosine monophosphate,DB00131,Pulmonary Cystic Fibrosis,C0392164,Approved,,
L-Serine,DB00133,"Glaucoma, Open-Angle",C0017612,Approved,,
L-Serine,DB00133,Bacterial urinary infection,C0729524,Approved,,
L-Serine,DB00133,"Tuberculosis, Pulmonary",C0041327,Approved,,
L-Serine,DB00133,Acute tuberculosis,C0275959,Approved,,
L-Serine,DB00133,Escherichia coli urinary tract infection,C0577708,Approved,,
Calcitriol,DB00136,Chronic small plaque psoriasis,C0406317,Approved,,
Calcitriol,DB00136,Hypocalcemia,C0020598,Approved,,
Calcitriol,DB00136,Hypophosphatemia,C0085682,Approved,,
Calcitriol,DB00136,Renal Osteodystrophy,C0035086,Approved,,
Calcitriol,DB00136,Hypoparathyroidism,C0020626,Approved,,
Xanthophyll,DB00137,Age related macular degeneration,C0242383,Approved,,
Xanthophyll,DB00137,Dry Eye Syndromes,C0013238,Approved,,
Xanthophyll,DB00137,Meibomian gland dysfunction,C1275684,Approved,,
Succinic acid,DB00139,Iron deficiency anemia,C0162316,Approved,,
Riboflavin,DB00140,Mineral deficiency,C0687148,Approved,,
Riboflavin,DB00140,Vitamin Deficiency,C1510471,Approved,,
Glycine,DB00145,Rhinorrhea,C1260880,Approved,,
Glycine,DB00145,Coughing,C0010200,Approved,,
Glycine,DB00145,Nasal congestion (finding),C0027424,Approved,,
Glycine,DB00145,Allergic rhinitis (disorder),C2607914,Approved,,
Glycine,DB00145,Rhinitis,C0035455,Approved,,
Glycine,DB00145,Common Cold,C0009443,Approved,,
Calcidiol,DB00146,Hypocalcemia,C0020598,Approved,,
Calcidiol,DB00146,Renal Osteodystrophy,C0035086,Approved,,
Calcidiol,DB00146,Rickets,C0035579,Approved,,
Calcidiol,DB00146,Hypophosphatemia,C0085682,Approved,,
L-Cysteine,DB00151,Bronchitis,C0006277,Approved,,
L-Cysteine,DB00151,Poisoning by acetaminophen,C0237963,Approved,,
L-Cysteine,DB00151,Amyloidosis,C0002726,Approved,,
L-Cysteine,DB00151,Pulmonary Cystic Fibrosis,C0392164,Approved,,
L-Cysteine,DB00151,Bronchiectasis,C0006267,Approved,,
Thiamine,DB00152,Vitamin B 12 Deficiency,C0042847,Approved,,
Thiamine,DB00152,Wernicke-Korsakoff Syndrome,C0349464,Approved,,
Thiamine,DB00152,Vitamin Deficiency,C1510471,Approved,,
Thiamine,DB00152,"Anemia, Pernicious",C0002892,Approved,,
Thiamine,DB00152,Thiamine Deficiency,C0039841,Approved,,
Thiamine,DB00152,Mineral deficiency,C0687148,Approved,,
Ergocalciferol,DB00153,Vitamin D Deficiency,C0042870,Approved,,
Ergocalciferol,DB00153,Osteomalacia,C0029442,Approved,,
Ergocalciferol,DB00153,Rickets,C0035579,Approved,,
Ergocalciferol,DB00153,Vitamin D-dependent rickets,C0221468,Approved,,
Ergocalciferol,DB00153,Vitamin Deficiency,C1510471,Approved,,
Ergocalciferol,DB00153,Osteoporosis,C0029456,Approved,,
Ergocalciferol,DB00153,Hypocalcemia,C0020598,Approved,,
Ergocalciferol,DB00153,"Osteoporosis, Postmenopausal",C0029458,Approved,,
Ergocalciferol,DB00153,"Vitamin D-Resistant Rickets, X-Linked",C3536984,Approved,,
Ergocalciferol,DB00153,Hypoparathyroidism,C0020626,Approved,,
Folic Acid,DB00158,Megaloblastic anemia due to folate deficiency,C0151482,Approved,,
Folic Acid,DB00158,Mineral deficiency,C0687148,Approved,,
Folic Acid,DB00158,Breastfeeding (mother),C1623040,Approved,,
Folic Acid,DB00158,Iron deficiency anemia,C0162316,Approved,,
Folic Acid,DB00158,Folic Acid Deficiency,C0016412,Approved,,
Folic Acid,DB00158,Vitamin Deficiency,C1510471,Approved,,
Icosapent,DB00159,Breastfeeding (mother),C1623040,Approved,,
Icosapent,DB00159,Hypertriglyceridemia,C0020557,Approved,,
Vitamin A,DB00162,Mineral deficiency,C0687148,Approved,,
Vitamin A,DB00162,Vitamin Deficiency,C1510471,Approved,,
Vitamin A,DB00162,Vitamin A Deficiency,C0042842,Approved,,
Vitamin E,DB00163,Vitamin E Deficiency,C0042875,Approved,,
Pyridoxine,DB00165,Breastfeeding (mother),C1623040,Approved,,
Pyridoxine,DB00165,"EPILEPSY, PYRIDOXINE-DEPENDENT",C1849508,Approved,,
Pyridoxine,DB00165,Vitamin B 6 Deficiency,C0936215,Approved,,
Lipoic Acid,DB00166,Diabetic peripheral neuropathy,C0740447,Approved,,
Cholecalciferol,DB00169,"Osteoporosis, Postmenopausal",C0029458,Approved,,
Cholecalciferol,DB00169,Hypoparathyroidism,C0020626,Approved,,
Cholecalciferol,DB00169,Rickets,C0035579,Approved,,
Cholecalciferol,DB00169,Hypocalcemia,C0020598,Approved,,
Cholecalciferol,DB00169,Vitamin Deficiency,C1510471,Approved,,
Cholecalciferol,DB00169,Osteomalacia,C0029442,Approved,,
Cholecalciferol,DB00169,Vitamin D-dependent rickets,C0221468,Approved,,
Cholecalciferol,DB00169,Osteoporosis,C0029456,Approved,,
Pravastatin,DB00175,Cerebrovascular accident,C0038454,Approved,,
Pravastatin,DB00175,Hyperlipoproteinemia Type III,C0020479,Approved,,
Pravastatin,DB00175,Familial hypercholesterolemia - heterozygous,C0342882,Approved,,
Pravastatin,DB00175,Hypercholesterolemia,C0020443,Approved,,
Pravastatin,DB00175,Hypertriglyceridemia,C0020557,Approved,,
Pravastatin,DB00175,"Hyperlipidemia, Familial Combined",C0020474,Approved,,
Pravastatin,DB00175,Arteriosclerosis,C0003850,Approved,,
Fluvoxamine,DB00176,Obsessive-Compulsive Disorder,C0028768,Approved,,
Fluvoxamine,DB00176,"Phobia, Social",C0031572,Approved,,
Valsartan,DB00177,Chronic heart failure,C0264716,Approved,,
Valsartan,DB00177,Hypertensive disease,C0020538,Approved,,
Ramipril,DB00178,Cerebrovascular accident,C0038454,Approved,,
Ramipril,DB00178,Chronic heart failure,C0264716,Approved,,
Ramipril,DB00178,Hypertensive disease,C0020538,Approved,,
Masoprocol,DB00179,Actinic keratosis,C0022602,Approved,,
Flunisolide,DB00180,Allergic rhinitis (disorder),C2607914,Approved,,
Flunisolide,DB00180,Asthma,C0004096,Approved,,
Baclofen,DB00181,Muscle spasticity of spinal origin,C1562430,Approved,,
Amphetamine,DB00182,Obesity,C0028754,Approved,,
Amphetamine,DB00182,Attention deficit hyperactivity disorder,C1263846,Approved,,
Amphetamine,DB00182,Narcolepsy,C0027404,Approved,,
Nicotine,DB00184,Pellagra,C0030783,Approved,,
Nicotine,DB00184,Nicotine Dependence,C0028043,Approved,,
Lorazepam,DB00186,Lennox-Gastaut syndrome,C0238111,Approved,,
Lorazepam,DB00186,Absence Epilepsy,C0014553,Approved,,
Lorazepam,DB00186,"Epilepsies, Myoclonic",C0014550,Approved,,
Lorazepam,DB00186,Epileptic drop attack,C0270846,Approved,,
Lorazepam,DB00186,Anxiety,C0003467,Approved,,
Lorazepam,DB00186,Status Epilepticus,C0038220,Approved,,
Lorazepam,DB00186,Panic Disorder,C0030319,Approved,,
Esmolol,DB00187,Atrial Fibrillation,C0004238,Approved,,
Esmolol,DB00187,Supraventricular tachycardia,C0039240,Approved,,
Esmolol,DB00187,Perioperative hypertension,C3661921,Approved,,
Bortezomib,DB00188,Multiple Myeloma,C0026764,Approved,,
Bortezomib,DB00188,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",C0334634,Approved,,
Ethchlorvynol,DB00189,Sleeplessness,C0917801,Approved,,
Carbidopa,DB00190,Parkinson Disease,C0030567,Approved,,
Carbidopa,DB00190,Parkinsonian Disorders,C0242422,Approved,,
Carbidopa,DB00190,"Parkinson Disease, Postencephalitic",C0030568,Approved,,
Phentermine,DB00191,Hypotension,C0020649,Approved,,
Phentermine,DB00191,Obesity,C0028754,Approved,,
Tramadol,DB00193,Chronic pain,C0150055,Approved,,
Tramadol,DB00193,Degenerative polyarthritis,C0029408,Approved,,
Tramadol,DB00193,Pain,C0030193,Approved,,
Vidarabine,DB00194,"Keratitis, Dendritic",C0022570,Approved,,
Vidarabine,DB00194,"Keratitis, Herpetic",C0019357,Approved,,
Betaxolol,DB00195,Hypertensive disease,C0020538,Approved,,
Betaxolol,DB00195,Ocular Hypertension,C0028840,Approved,,
Betaxolol,DB00195,"Glaucoma, Open-Angle",C0017612,Approved,,
Fluconazole,DB00196,Oropharyngeal candidiasis,C0919659,Approved,,
Fluconazole,DB00196,Septicemia candida,C0349009,Approved,,
Fluconazole,DB00196,"Candidiasis, Vulvovaginal",C0700345,Approved,,
Fluconazole,DB00196,Oral candidiasis,C0006849,Approved,,
Fluconazole,DB00196,Mucocutaneous candidiasis,C0006848,Approved,,
Fluconazole,DB00196,Candidiasis of the esophagus,C0239295,Approved,,
Fluconazole,DB00196,"Meningitis, Cryptococcal",C0085436,Approved,,
Fluconazole,DB00196,Candidemia,C0877445,Approved,,
Fluconazole,DB00196,Systemic candidiasis,C0153252,Approved,,
Oseltamivir,DB00198,Influenza,C0021400,Approved,,
Erythromycin,DB00199,Diphtheria,C0012546,Approved,,
Erythromycin,DB00199,Ophthalmia Neonatorum,C0029076,Approved,,
Erythromycin,DB00199,Infective otitis media,C0729586,Approved,,
Erythromycin,DB00199,Acute bacterial sinusitis,C0275556,Approved,,
Erythromycin,DB00199,Acute gonococcal endometritis,C0153196,Approved,,
Erythromycin,DB00199,Neonatal pneumonia,C0339968,Approved,,
Erythromycin,DB00199,"Pneumonia, Bacterial",C0004626,Approved,,
Erythromycin,DB00199,Chlamydial urethritis,C1278807,Approved,,
Erythromycin,DB00199,Gonorrhea of rectum,C0275665,Approved,,
Erythromycin,DB00199,Pneumococcal pharyngitis,C0275761,Approved,,
Erythromycin,DB00199,Acute gonococcal urethritis,C0275652,Approved,,
Erythromycin,DB00199,Staphylococcus aureus infection,C1318973,Approved,,
Erythromycin,DB00199,Legionnaires' Disease,C0023241,Approved,,
Erythromycin,DB00199,non-gonococcal urethritis (NGU),C1112709,Approved,,
Erythromycin,DB00199,Streptococcus pyogenes infection,C0554628,Approved,,
Erythromycin,DB00199,Listeriosis,C0023860,Approved,,
Erythromycin,DB00199,Inclusion conjunctivitis,C0009770,Approved,,
Erythromycin,DB00199,Chlamydial cervicitis,C0341834,Approved,,
Erythromycin,DB00199,Pertussis,C0043167,Approved,,
Erythromycin,DB00199,Erythrasma,C0014752,Approved,,
Erythromycin,DB00199,Infection of skin AND/OR subcutaneous tissue,C0178299,Approved,,
Erythromycin,DB00199,Streptococcal pneumonia,C0155862,Approved,,
Erythromycin,DB00199,Syphilis,C0039128,Approved,,
Erythromycin,DB00199,Chlamydial pneumonia,C0339959,Approved,,
Erythromycin,DB00199,Acute gonococcal cervicitis,C0153195,Approved,,
Erythromycin,DB00199,Acne Vulgaris,C0001144,Approved,,
Erythromycin,DB00199,Acute otitis media,C0271429,Approved,,
Erythromycin,DB00199,Mycoplasma pneumonia,C0032302,Approved,,
Erythromycin,DB00199,Gonorrhea,C0018081,Approved,,
Erythromycin,DB00199,Intraabdominal Infections,C1112209,Approved,,
Erythromycin,DB00199,Meningitis,C0025289,Approved,,
Erythromycin,DB00199,Cholangitis,C0008311,Approved,,
Erythromycin,DB00199,Bacterial sepsis,C0684256,Approved,,
Erythromycin,DB00199,Hepatic Coma,C0019147,Approved,,
Erythromycin,DB00199,Infection of bone,C2242472,Approved,,
Erythromycin,DB00199,Urinary tract infection,C0042029,Approved,,
Erythromycin,DB00199,Arthropathy associated with infection,C0157749,Approved,,
Hydroxocobalamin,DB00200,Vitamin B 12 Deficiency,C0042847,Approved,,
Hydroxocobalamin,DB00200,Toxic effect of cyanide,C0238080,Approved,,
Hydroxocobalamin,DB00200,"Anemia, Pernicious",C0002892,Approved,,
Caffeine,DB00201,Headache Disorders,C0393735,Approved,,
Caffeine,DB00201,Allergic rhinitis (disorder),C2607914,Approved,,
Caffeine,DB00201,Pain,C0030193,Approved,,
Caffeine,DB00201,Vascular Headaches,C0042376,Approved,,
Caffeine,DB00201,Back Pain,C0004604,Approved,,
Caffeine,DB00201,Cluster Headache,C0009088,Approved,,
Caffeine,DB00201,Arthralgia,C0003862,Approved,,
Caffeine,DB00201,Influenza-like symptoms,C0392171,Approved,,
Caffeine,DB00201,Common Cold,C0009443,Approved,,
Caffeine,DB00201,Muscle Spasticity,C0026838,Approved,,
Caffeine,DB00201,Rhinorrhea,C1260880,Approved,,
Caffeine,DB00201,Nasal congestion (finding),C0027424,Approved,,
Caffeine,DB00201,Sinus headache,C0037195,Approved,,
Caffeine,DB00201,Dysmenorrhea,C0013390,Approved,,
Caffeine,DB00201,Tension Headache,C0033893,Approved,,
Caffeine,DB00201,Migraine Disorders,C0149931,Approved,,
Caffeine,DB00201,Apnea in the newborn,C0232058,Approved,,
Sildenafil,DB00203,Pulmonary arterial hypertension,C2973725,Approved,,
Sildenafil,DB00203,Erectile dysfunction,C0242350,Approved,,
Pyrimethamine,DB00205,Malaria,C0024530,Approved,,
Pyrimethamine,DB00205,Toxoplasmosis associated with AIDS,C1720498,Approved,,
Pyrimethamine,DB00205,Toxoplasmosis,C0040558,Approved,,
Reserpine,DB00206,Psychotic Disorders,C0033975,Approved,,
Reserpine,DB00206,Hypertensive disease,C0020538,Approved,,
Azithromycin,DB00207,Pulmonary Mycobacterium avium complex infection,C2733595,Approved,,
Azithromycin,DB00207,Streptococcal tonsillitis,C0275804,Approved,,
Azithromycin,DB00207,Pneumonia due to Staphylococcus aureus,C2349530,Approved,,
Azithromycin,DB00207,Acute bacterial bronchitis,C0339933,Approved,,
Azithromycin,DB00207,Infective otitis media,C0729586,Approved,,
Azithromycin,DB00207,Chlamydial pneumonia,C0339959,Approved,,
Azithromycin,DB00207,Chlamydial urethritis,C1278807,Approved,,
Azithromycin,DB00207,Streptococcus pyogenes infection,C0554628,Approved,,
Azithromycin,DB00207,Acute gonococcal cervicitis,C0153195,Approved,,
Azithromycin,DB00207,Legionella pneumophila pneumonia,C0857846,Approved,,
Azithromycin,DB00207,Acute gonococcal urethritis,C0275652,Approved,,
Azithromycin,DB00207,Chancroids,C0007947,Approved,,
Azithromycin,DB00207,Bacterial conjunctivitis,C0009768,Approved,,
Azithromycin,DB00207,"Pneumonia, Bacterial",C0004626,Approved,,
Azithromycin,DB00207,Chlamydial pelvic inflammatory disease,C0520777,Approved,,
Azithromycin,DB00207,Chlamydial cervicitis,C0341834,Approved,,
Azithromycin,DB00207,Streptococcal pneumonia,C0155862,Approved,,
Azithromycin,DB00207,Mycoplasma pneumonia,C0032302,Approved,,
Azithromycin,DB00207,Staphylococcus aureus infection,C1318973,Approved,,
Azithromycin,DB00207,Moraxella catarrhalis pneumonia,C0857831,Approved,,
Azithromycin,DB00207,Acute bacterial sinusitis,C0275556,Approved,,
Azithromycin,DB00207,Pelvic inflammatory disease due to Mycoplasma hominis,C1261256,Approved,,
Azithromycin,DB00207,Haemophilus influenzae pneumonia,C0276026,Approved,,
Azithromycin,DB00207,Acute exacerbation of chronic bronchitis,C0856695,Approved,,
Ticlopidine,DB00208,Cerebrovascular Occlusion,C0596298,Approved,,
Trospium,DB00209,Urge Incontinence,C0150045,Approved,,
Trospium,DB00209,Bladder muscle dysfunction - overactive,C0403643,Approved,,
Trospium,DB00209,Increased frequency of micturition,C0042023,Approved,,
Trospium,DB00209,Urgency of micturition,C0085606,Approved,,
Adapalene,DB00210,Acne Vulgaris,C0001144,Approved,,
Midodrine,DB00211,"Hypotension, Orthostatic",C0020651,Approved,,
Pantoprazole,DB00213,Erosive esophagitis,C0267055,Approved,,
Pantoprazole,DB00213,Zollinger-Ellison syndrome,C0043515,Approved,,
Pantoprazole,DB00213,Gastroesophageal reflux disease,C0017168,Approved,,
Pantoprazole,DB00213,Multiple Endocrine Neoplasia,C0027662,Approved,,
Pantoprazole,DB00213,Peptic Ulcer,C0030920,Approved,,
Torasemide,DB00214,Hypertensive disease,C0020538,Approved,,
Torasemide,DB00214,Edema,C0013604,Approved,,
Torasemide,DB00214,Decompensated cardiac failure,C0581377,Approved,,
Torasemide,DB00214,Renal disease with edema NOS,C0866125,Approved,,
Citalopram,DB00215,Generalized Anxiety Disorder,C0270549,Approved,,
Citalopram,DB00215,Major Depressive Disorder,C1269683,Approved,,
Citalopram,DB00215,Depressive disorder,C0011581,Approved,,
