drug_name,drug_id,ind_name,ind_id,status,phase,DetailedStatus
Thiamine,DB00152,Wernicke-Korsakoff Syndrome,C0349464,Approved,,
Thiamine,DB00152,"Anemia, Pernicious",C0002892,Approved,,
Thiamine,DB00152,Thiamine Deficiency,C0039841,Approved,,
Ergocalciferol,DB00153,Vitamin D Deficiency,C0042870,Approved,,
Ergocalciferol,DB00153,Osteomalacia,C0029442,Approved,,
Ergocalciferol,DB00153,Vitamin D-dependent rickets,C0221468,Approved,,
Ergocalciferol,DB00153,"Vitamin D-Resistant Rickets, X-Linked",C3536984,Approved,,
Folic Acid,DB00158,Megaloblastic anemia due to folate deficiency,C0151482,Approved,,
Folic Acid,DB00158,Folic Acid Deficiency,C0016412,Approved,,
Vitamin A,DB00162,Vitamin A Deficiency,C0042842,Approved,,
Vitamin E,DB00163,Vitamin E Deficiency,C0042875,Approved,,
Pyridoxine,DB00165,"EPILEPSY, PYRIDOXINE-DEPENDENT",C1849508,Approved,,
Pyridoxine,DB00165,Vitamin B 6 Deficiency,C0936215,Approved,,
Lipoic Acid,DB00166,Diabetic peripheral neuropathy,C0740447,Approved,,
Cholecalciferol,DB00169,Osteomalacia,C0029442,Approved,,
Cholecalciferol,DB00169,Vitamin D-dependent rickets,C0221468,Approved,,
Baclofen,DB00181,Muscle spasticity of spinal origin,C1562430,Approved,,
Nicotine,DB00184,Pellagra,C0030783,Approved,,
Lorazepam,DB00186,Epileptic drop attack,C0270846,Approved,,
Esmolol,DB00187,Supraventricular tachycardia,C0039240,Approved,,
Esmolol,DB00187,Perioperative hypertension,C3661921,Approved,,
Vidarabine,DB00194,"Keratitis, Dendritic",C0022570,Approved,,
Vidarabine,DB00194,"Keratitis, Herpetic",C0019357,Approved,,
Fluconazole,DB00196,Septicemia candida,C0349009,Approved,,
Fluconazole,DB00196,Mucocutaneous candidiasis,C0006848,Approved,,
Fluconazole,DB00196,"Meningitis, Cryptococcal",C0085436,Approved,,
Erythromycin,DB00199,Diphtheria,C0012546,Approved,,
Erythromycin,DB00199,Pneumococcal pharyngitis,C0275761,Approved,,
Erythromycin,DB00199,Legionnaires' Disease,C0023241,Approved,,
Erythromycin,DB00199,Pertussis,C0043167,Approved,,
Erythromycin,DB00199,Erythrasma,C0014752,Approved,,
Erythromycin,DB00199,Hepatic Coma,C0019147,Approved,,
Hydroxocobalamin,DB00200,Vitamin B 12 Deficiency,C0042847,Approved,,
Hydroxocobalamin,DB00200,"Anemia, Pernicious",C0002892,Approved,,
Caffeine,DB00201,Apnea in the newborn,C0232058,Approved,,
Pyrimethamine,DB00205,Toxoplasmosis associated with AIDS,C1720498,Approved,,
Pyrimethamine,DB00205,Toxoplasmosis,C0040558,Approved,,
Azithromycin,DB00207,Pulmonary Mycobacterium avium complex infection,C2733595,Approved,,
Azithromycin,DB00207,Pelvic inflammatory disease due to Mycoplasma hominis,C1261256,Approved,,
Ticlopidine,DB00208,Cerebrovascular Occlusion,C0596298,Approved,,
Midodrine,DB00211,"Hypotension, Orthostatic",C0020651,Approved,,
Moxifloxacin,DB00218,Pneumonic Plague,C0524688,Approved,,
Moxifloxacin,DB00218,"Plague, Septicemic",C0152936,Approved,,
Lovastatin,DB00227,Hypoalphalipoproteinemias,C0473527,Approved,,
Pregabalin,DB00230,Diabetic peripheral neuropathy,C0740447,Approved,,
Cladribine,DB00242,Hairy Cell Leukemia,C0023443,Approved,,
Mesalazine,DB00244,Chronic ulcerative proctitis,C2937222,Approved,,
Mesalazine,DB00244,Ulcerative colitis in remission,C3697010,Approved,,
Mesalazine,DB00244,Chronic ulcerative rectosigmoiditis,C0267390,Approved,,
Cabergoline,DB00248,Hyperprolactinemia,C0020514,Approved,,
Idoxuridine,DB00249,"Keratitis, Herpetic",C0019357,Approved,,
Dapsone,DB00250,Leprosy,C0023343,Approved,,
Phenytoin,DB00252,Motor cortex epilepsy,C0234978,Approved,,
Doxycycline,DB00254,Scrub Typhus,C0036472,Approved,,
Doxycycline,DB00254,Cutaneous anthrax,C0003177,Approved,,
Doxycycline,DB00254,Endemic Flea-Borne Typhus,C0041472,Approved,,
Doxycycline,DB00254,Cholera,C0008354,Approved,,
Doxycycline,DB00254,Boutonneuse Fever,C0006060,Approved,,
Doxycycline,DB00254,Q fever endocarditis,C0340354,Approved,,
Doxycycline,DB00254,Brill-Zinsser Disease,C0006181,Approved,,
Doxycycline,DB00254,Rickettsia Infections,C0035585,Approved,,
Doxycycline,DB00254,"Typhus, Epidemic Louse-Borne",C0041473,Approved,,
Doxycycline,DB00254,Gastrointestinal anthrax,C0152945,Approved,,
Doxycycline,DB00254,Bartonella Infections,C0004771,Approved,,
Doxycycline,DB00254,Chlamydia Infections,C0008149,Approved,,
Calcium Acetate,DB00258,Disorder of electrolytes,C1704431,Approved,,
Calcium Acetate,DB00258,Hypermagnesemia,C0151714,Approved,,
Calcium Acetate,DB00258,Hypocalcemic tetany,C0151940,Approved,,
Sulfanilamide,DB00259,Vulvovaginitis,C0042998,Approved,,
Anagrelide,DB00261,"Thrombocythemia, Essential",C0040028,Approved,,
Carmustine,DB00262,Malignant neoplasm of brain,C0153633,Approved,,
Carmustine,DB00262,Glioblastoma multiforme of brain,C0349543,Approved,,
Sulfisoxazole,DB00263,Nocardia Infections,C0028242,Approved,,
Dicoumarol,DB00266,Thromboembolism,C0040038,Approved,,
Dicoumarol,DB00266,Thrombosis,C0040053,Approved,,
Dicoumarol,DB00266,Cerebral Embolism,C0007780,Approved,,
Theophylline,DB00277,Lung diseases,C0024115,Approved,,
Theophylline,DB00277,Asthma night-time symptoms,C1273489,Approved,,
Theophylline,DB00277,Asthma-chronic obstructive pulmonary disease overlap syndrome,C4038730,Approved,,
Argatroban,DB00278,Heparin-induced thrombocytopenia with thrombosis,C0272275,Approved,,
Liothyronine,DB00279,Malignant neoplasm of thyroid,C0007115,Approved,,
Liothyronine,DB00279,Endemic goiter,C0018022,Approved,,
Liothyronine,DB00279,Myxedema,C0027145,Approved,,
Liothyronine,DB00279,Congenital Hypothyroidism,C0010308,Approved,,
Liothyronine,DB00279,Goiter,C0018021,Approved,,
Liothyronine,DB00279,Hypothyroidism,C0020676,Approved,,
Liothyronine,DB00279,Myxedema coma,C0238298,Approved,,
Lidocaine,DB00281,Urethritis,C0041976,Approved,,
Lidocaine,DB00281,Neuralgia,C0027796,Approved,,
Pamidronate,DB00282,Osteolytic Lesions of Multiple Myeloma,C3898069,Approved,,
Conjugated Estrogens,DB00286,Dyspareunia,C1384606,Approved,,
Bleomycin,DB00290,Malignant tumor of cervix,C0007847,Approved,,
Bleomycin,DB00290,"Pleural Effusion, Malignant",C0080032,Approved,,
Bleomycin,DB00290,Malignant neoplasm of penis,C0153601,Approved,,
Bleomycin,DB00290,FIGO stage finding for vulvar carcinoma,C1272826,Approved,,
Ertapenem,DB00303,Miscarriage with sepsis,C0269398,Approved,,
Ertapenem,DB00303,Acute bacterial peritonitis,C0275550,Approved,,
Ertapenem,DB00303,Peptostreptococcus infection,C1096562,Approved,,
Mitomycin,DB00305,Malignant neoplasm of stomach stage IV,C0278498,Approved,,
Pentobarbital,DB00312,Cerebral Ischemia,C0917798,Approved,,
Gefitinib,DB00317,Epidermal growth factor receptor positive non-small cell lung cancer,C1960925,Approved,,
Piperacillin,DB00319,Septicemia due to enterococcus,C0588233,Approved,,
Piperacillin,DB00319,Appendicitis,C0003615,Approved,,
Floxuridine,DB00322,Malignant neoplasm of liver,C0345904,Approved,,
Floxuridine,DB00322,Primary malignant neoplasm of gastrointestinal tract,C1306632,Approved,,
Nitroprusside,DB00325,Malignant essential hypertension,C0024588,Approved,,
Calcium Gluceptate,DB00326,Hypermagnesemia,C0151714,Approved,,
Calcium Gluceptate,DB00326,Disorder of electrolytes,C1704431,Approved,,
Calcium Gluceptate,DB00326,Hypocalcemic tetany,C0151940,Approved,,
Indomethacin,DB00328,shoulder bursitis,C0262399,Approved,,
Indomethacin,DB00328,Patent ductus arteriosus,C0013274,Approved,,
Indomethacin,DB00328,Shoulder tendinitis,C0262633,Approved,,
Indomethacin,DB00328,Rheumatism,C0035435,Approved,,
Methadone,DB00333,Opioid withdrawal,C0029104,Approved,,
Pyrazinamide,DB00339,"Tuberculosis, Meningeal",C0041318,Approved,,
Nitisinone,DB00348,"Tyrosinemia, Type I",C0268490,Approved,,
Minoxidil,DB00350,Alopecia,C0002170,Approved,,
Megestrol acetate,DB00351,Nutritional deficiency associated with AIDS,C0276587,Approved,,
Aminoglutethimide,DB00357,Secondary malignant neoplasm of female breast,C0346993,Approved,,
Sulfadiazine,DB00359,Toxoplasmosis,C0040558,Approved,,
Sulfadiazine,DB00359,Chorioretinitis,C0008513,Approved,,
Sulfadiazine,DB00359,Toxoplasmosis associated with AIDS,C1720498,Approved,,
Sulfadiazine,DB00359,Skin Ulcer,C0037299,Approved,,
Sulfadiazine,DB00359,"Toxoplasmosis, Congenital",C0040560,Approved,,
Sapropterin,DB00360,Classical phenylketonuria,C0751434,Approved,,
Clozapine,DB00363,Treatment-resistant schizophrenia,C3544321,Approved,,
Valrubicin,DB00385,Malignant neoplasm of urinary bladder,C0005684,Approved,,
Phenylephrine,DB00388,Rectal pain,C0034886,Approved,,
Carbimazole,DB00389,Graves Disease,C0018213,Approved,,
Digoxin,DB00390,Poisoning by digitalis glycoside,C0274726,Approved,,
Nimodipine,DB00393,Subarachnoid Hemorrhage,C0038525,Approved,,
Beclomethasone dipropionate,DB00394,Nasal Polyps,C0027430,Approved,,
Progesterone,DB00396,Secondary malignant neoplasm of kidney,C0153685,Approved,,
Progesterone,DB00396,Metrorrhagia,C0025874,Approved,,
Progesterone,DB00396,Secondary physiologic amenorrhea,C0232940,Approved,,
Sorafenib,DB00398,Liver carcinoma,C2239176,Approved,,
Sorafenib,DB00398,Malignant epithelial neoplasm of thyroid,C3163939,Approved,,
Zoledronic acid,DB00399,Osteolytic Lesions of Multiple Myeloma,C3898069,Approved,,
Griseofulvin,DB00400,Tinea Capitis,C0040250,Approved,,
Griseofulvin,DB00400,Tinea barbae,C2349994,Approved,,
Mupirocin,DB00410,Impetigo,C0021099,Approved,,
Ampicillin,DB00415,Acute bacterial epiglottitis,C0275555,Approved,,
Ampicillin,DB00415,Acute epiglottitis,C0155814,Approved,,
Ampicillin,DB00415,pharyngitis due to Haemophilus influenzae,C2062475,Approved,,
Ampicillin,DB00415,Septicemia due to enterococcus,C0588233,Approved,,
Ampicillin,DB00415,Bacterial Endocarditis,C0014121,Approved,,
Ampicillin,DB00415,Salmonella sepsis,C0152486,Approved,,
Ampicillin,DB00415,Dysentery,C0013369,Approved,,
Ampicillin,DB00415,Pneumococcal pharyngitis,C0275761,Approved,,
Ampicillin,DB00415,Paratyphoid Fever,C0030528,Approved,,
Miglustat,DB00419,"Niemann-Pick Disease, Type C",C0220756,Approved,,
Promazine,DB00420,Intractable hiccups,C0744896,Approved,,
Promazine,DB00420,Acute intermittent porphyria,C0162565,Approved,,
Promazine,DB00420,Disruptive Behavior Disorder,C0012734,Approved,,
Spironolactone,DB00421,Ascites,C0003962,Approved,,
Spironolactone,DB00421,Hyperaldosteronism,C0020428,Approved,,
Hyoscyamine,DB00424,Sinus bradycardia,C0085610,Approved,,
Hyoscyamine,DB00424,Sialorrhea,C0037036,Approved,,
Zolpidem,DB00425,Initial insomnia,C0393760,Approved,,
Trifluridine,DB00432,Herpes simplex keratoconjunctivitis,C0276228,Approved,,
Trifluridine,DB00432,"Keratitis, Herpetic",C0019357,Approved,,
Allopurinol,DB00437,Calcium renal calculus,C1959799,Approved,,
Allopurinol,DB00437,Uric acid renal calculus,C0558595,Approved,,
Ceftazidime,DB00438,Ecthyma gangrenosum,C0276085,Approved,,
Ceftazidime,DB00438,Gonococcal meningitis,C0153225,Approved,,
Betamethasone,DB00443,Scalp Dermatoses,C0036271,Approved,,
Chloramphenicol,DB00446,Rickettsia Infections,C0035585,Approved,,
Chloramphenicol,DB00446,Boutonneuse Fever,C0006060,Approved,,
Chloramphenicol,DB00446,Paratyphoid Fever,C0030528,Approved,,
Chloramphenicol,DB00446,Salmonella infections,C0036117,Approved,,
Levothyroxine,DB00451,Myxedema,C0027145,Approved,,
Levothyroxine,DB00451,Malignant neoplasm of thyroid,C0007115,Approved,,
Levothyroxine,DB00451,Congenital Hypothyroidism,C0010308,Approved,,
Levothyroxine,DB00451,Hypothyroidism,C0020676,Approved,,
Levothyroxine,DB00451,Hashimoto Disease,C0677607,Approved,,
Levothyroxine,DB00451,Goiter,C0018021,Approved,,
Imipramine,DB00458,Bedwetting,C0270327,Approved,,
Verteporfin,DB00460,Choroidal retinal neovascularization,C0271066,Approved,,
Verteporfin,DB00460,Choroidal Neovascularization,C0600518,Approved,,
Verteporfin,DB00460,Ocular histoplasmosis syndrome,C1562543,Approved,,
Sodium Tetradecyl Sulfate,DB00464,Varicosity,C0042345,Approved,,
Tenoxicam,DB00469,Arthritis,C0003864,Approved,,
Fluoxetine,DB00472,Bulimia Nervosa,C2267227,Approved,,
Chlordiazepoxide,DB00475,Alcohol Withdrawal Delirium,C0001957,Approved,,
Chlordiazepoxide,DB00475,Alcohol withdrawal syndrome,C0236663,Approved,,
Duloxetine,DB00476,Diabetic peripheral neuropathy,C0740447,Approved,,
Duloxetine,DB00476,MUSCULOSKELETAL PAIN CHRONIC,C0746683,Approved,,
Duloxetine,DB00476,Female stress incontinence,C0038437,Approved,,
Chlorpromazine,DB00477,Acute intermittent porphyria,C0162565,Approved,,
Chlorpromazine,DB00477,Intractable hiccups,C0744896,Approved,,
Chlorpromazine,DB00477,Disruptive Behavior Disorder,C0012734,Approved,,
Rimantadine,DB00478,Influenza due to Influenza A virus,C2711180,Approved,,
Amikacin,DB00479,Diverticulitis of gastrointestinal tract,C0349774,Approved,,
Amikacin,DB00479,Klebsiella sepsis,C0745528,Approved,,
Amikacin,DB00479,Pseudomonas aeruginosa meningitis,C3665869,Approved,,
Amikacin,DB00479,Osteomyelitis,C0029443,Approved,,
Amikacin,DB00479,Meningitis due to Klebsiella mobilis,C1719906,Approved,,
Amikacin,DB00479,Proteus meningitis,C0338396,Approved,,
Amikacin,DB00479,Bacterial meningitis due to Gram-negative bacteria,C0854215,Approved,,
Amikacin,DB00479,Pneumonia due to Gram negative bacteria,C0854248,Approved,,
Cefotaxime,DB00493,Haemophilus influenzae type b infection,C2028293,Approved,,
Cefotaxime,DB00493,Meningitis due to Klebsiella mobilis,C1719906,Approved,,
Cefotaxime,DB00493,"Arthritis, Bacterial",C1692886,Approved,,
Flutamide,DB00499,Prostatic Neoplasms,C0033578,Approved,,
Cimetidine,DB00501,Upper gastrointestinal hemorrhage,C0041909,Approved,,
Haloperidol,DB00502,Chronic schizophrenia,C0221765,Approved,,
Haloperidol,DB00502,Gilles de la Tourette syndrome,C0040517,Approved,,
Nitazoxanide,DB00507,Cryptosporidiosis,C0010418,Approved,,
Vancomycin,DB00512,Bacterial Endocarditis,C0014121,Approved,,
Vancomycin,DB00512,Staphylococcal Infections,C0038160,Approved,,
Vancomycin,DB00512,"Enterocolitis, Pseudomembranous",C0014358,Approved,,
Vancomycin,DB00512,Staphylococcal enterocolitis,C0038157,Approved,,
Dextromethorphan,DB00514,Pseudobulbar affect,C2316460,Approved,,
Albendazole,DB00518,Echinococcus granulosus infection of liver,C0153289,Approved,,
Albendazole,DB00518,Echinococcus granulosus infection of lung,C0153290,Approved,,
Albendazole,DB00518,Neurocysticercosis,C0338437,Approved,,
Albendazole,DB00518,Echinococcus granulosus infection,C0152068,Approved,,
Tolnaftate,DB00525,Tinea manus,C0153246,Approved,,
Tolnaftate,DB00525,Tinea Capitis,C0040250,Approved,,
Tolnaftate,DB00525,Tinea barbae,C2349994,Approved,,
Cyclophosphamide,DB00531,Lymphoma,C0024299,Approved,,
Guanidine,DB00536,Lambert-Eaton Myasthenic Syndrome,C0022972,Approved,,
Ciprofloxacin,DB00537,Acute osteomyelitis,C0158371,Approved,,
Ciprofloxacin,DB00537,Enteric campylobacteriosis,C0275982,Approved,,
Vincristine,DB00541,Rhabdomyosarcoma,C0035412,Approved,,
Vincristine,DB00541,Nephroblastoma,C0027708,Approved,,
Fluorouracil,DB00544,Superficial basal cell carcinoma,C0862889,Approved,,
Pyridostigmine,DB00545,Myasthenia Gravis,C0026896,Approved,,
Propylthiouracil,DB00550,Thyroid Crisis,C0040127,Approved,,
Pentostatin,DB00552,Hairy Cell Leukemia,C0023443,Approved,,
Methoxsalen,DB00553,Vitiligo,C0042900,Approved,,
Tigecycline,DB00560,Complicated appendicitis,C1632842,Approved,,
Doxapram,DB00561,Respiratory Depression,C0235063,Approved,,
Methotrexate,DB00563,Gestational Trophoblastic Neoplasms,C1135868,Approved,,
Methotrexate,DB00563,Meningeal Leukemia,C0948840,Approved,,
Methotrexate,DB00563,Osteosarcoma of bone,C0585442,Approved,,
Carbamazepine,DB00564,Glossopharyngeal Neuralgia,C0154731,Approved,,
Carbamazepine,DB00564,mixed; epileptic,C1398376,Approved,,
Carbamazepine,DB00564,Trigeminal Neuralgia,C0040997,Approved,,
Succimer,DB00566,Accidental poisoning by lead and its compounds and fumes,C0261486,Approved,,
Fondaparinux sodium,DB00569,Pulmonary Thromboembolisms,C0524702,Approved,,
Vinblastine,DB00570,Gestational Trophoblastic Neoplasms,C1135868,Approved,,
Vinblastine,DB00570,Letterer-Siwe Disease,C0023381,Approved,,
Vinblastine,DB00570,Malignant neoplasm of testis,C0153594,Approved,,
Propranolol,DB00571,Idiopathic hypertrophic subaortic stenosis,C0700053,Approved,,
Propranolol,DB00571,Supraventricular tachycardia,C0039240,Approved,,
Propranolol,DB00571,Hypertrophic Cardiomyopathy,C0007194,Approved,,
Propranolol,DB00571,Hemangioma,C0018916,Approved,,
Valaciclovir,DB00577,Chickenpox,C0008049,Approved,,
Valaciclovir,DB00577,Genital Herpes,C0019342,Approved,,
Lactulose,DB00581,Hyperammonemia,C0220994,Approved,,
Voriconazole,DB00582,Fusariosis,C0276758,Approved,,
L-Carnitine,DB00583,Carnitine deficiency,C1142132,Approved,,
Enalapril,DB00584,Asymptomatic left ventricular systolic dysfunction,C3698411,Approved,,
Enalapril,DB00584,Congestive heart failure,C0018802,Approved,,
Diclofenac,DB00586,"Osteoarthritis, Knee",C0409959,Approved,,
Lisuride,DB00589,Amenorrhea,C0002453,Approved,,
Fluocinolone Acetonide,DB00591,Choroiditis,C0008526,Approved,,
Piperazine,DB00592,Enterobiasis,C0086227,Approved,,
Piperazine,DB00592,Ascariasis,C0003950,Approved,,
Thiopental,DB00599,Pseudotumor Cerebri,C0033845,Approved,,
Ivermectin,DB00602,Onchocerciasis,C0029001,Approved,,
Ivermectin,DB00602,Strongyloidiasis,C0038463,Approved,,
Medroxyprogesterone acetate,DB00603,Secondary malignant neoplasm of kidney,C0153685,Approved,,
Medroxyprogesterone acetate,DB00603,Metrorrhagia,C0025874,Approved,,
Medroxyprogesterone acetate,DB00603,Secondary physiologic amenorrhea,C0232940,Approved,,
Nafcillin,DB00607,Staphylococcal Infections,C0038160,Approved,,
Chloroquine,DB00608,Quartan malaria,C0024536,Approved,,
Chloroquine,DB00608,Ovale malaria,C0152072,Approved,,
Rifabutin,DB00615,Pulmonary Mycobacterium avium complex infection,C2733595,Approved,,
Demeclocycline,DB00618,pharyngitis due to Haemophilus influenzae,C2062475,Approved,,
Imatinib,DB00619,"Leukemia, Myeloid, Chronic-Phase",C0023474,Approved,,
Imatinib,DB00619,Blast Phase,C0005699,Approved,,
Imatinib,DB00619,Chronic eosinophilic leukemia,C0346421,Approved,,
Imatinib,DB00619,Philadelphia chromosome-positive acute lymphoblastic leukemia,C1960397,Approved,,
Imatinib,DB00619,Dermatofibrosarcoma Protuberans,C0392784,Approved,,
Imatinib,DB00619,Idiopathic Hypereosinophilic Syndrome,C0206141,Approved,,
Imatinib,DB00619,Gastrointestinal Stromal Tumors,C0238198,Approved,,
Triamcinolone,DB00620,Giant Cell Arteritis,C0039483,Approved,,
Triamcinolone,DB00620,Keloid,C0022548,Approved,,
Triamcinolone,DB00620,Gingival Diseases,C0017563,Approved,,
Triamcinolone,DB00620,Alopecia Areata,C0002171,Approved,,
Triamcinolone,DB00620,Lichen Planus,C0023646,Approved,,
Triamcinolone,DB00620,"Ophthalmia, Sympathetic",C0029077,Approved,,
Triamcinolone,DB00620,Subacute bursitis,C1290159,Approved,,
Triamcinolone,DB00620,Necrobiosis Lipoidica Diabeticorum,C0392445,Approved,,
Testosterone,DB00624,Primary hypogonadism,C0948896,Approved,,
Testosterone,DB00624,Cryptorchidism,C0010417,Approved,,
Testosterone,DB00624,Klinefelter Syndrome,C0022735,Approved,,
Testosterone,DB00624,Hypopituitarism,C0020635,Approved,,
Clorazepate,DB00628,Alcohol withdrawal syndrome,C0236663,Approved,,
Sulfacetamide,DB00634,Amebiasis,C0002438,Approved,,
Sulfacetamide,DB00634,Vulvovaginitis,C0042998,Approved,,
Simvastatin,DB00641,Hypoalphalipoproteinemias,C0473527,Approved,,
Pemetrexed,DB00642,Malignant Pleural Mesothelioma,C0812413,Approved,,
Mebendazole,DB00643,Enterobiasis,C0086227,Approved,,
Mebendazole,DB00643,Ascariasis,C0003950,Approved,,
Mebendazole,DB00643,Infection by Trichuris trichiura,C0040954,Approved,,
Gonadorelin,DB00644,Amenorrhea,C0002453,Approved,,
Nystatin,DB00646,Mucocutaneous candidiasis,C0006848,Approved,,
Nystatin,DB00646,Gastrointestinal candidiasis,C0343886,Approved,,
Mitotane,DB00648,Carcinoma in situ of adrenal cortex,C0686510,Approved,,
Leucovorin,DB00650,Poisoning by pyrimethamine,C0274478,Approved,,
Leucovorin,DB00650,Methotrexate poisoning,C0568062,Approved,,
Leucovorin,DB00650,"Anemia, Megaloblastic",C0002888,Approved,,
Leucovorin,DB00650,Folic Acid Deficiency,C0016412,Approved,,
Leucovorin,DB00650,Poisoning by sulfadiazine,C0274462,Approved,,
Dyphylline,DB00651,Asthma night-time symptoms,C1273489,Approved,,
Dyphylline,DB00651,Asthma-chronic obstructive pulmonary disease overlap syndrome,C4038730,Approved,,
Magnesium Sulfate,DB00653,Eclampsia in pregnancy,C0156677,Approved,,
Magnesium Sulfate,DB00653,Mild pre-eclampsia,C0269658,Approved,,
