ind_name,candidate_count
Coccidioidomycosis,3
Histoplasmosis,3
Blastomycosis,3
Female pelvic cellulitis,3
Hypertensive emergency,3
Pheochromocytoma,3
Angle Closure Glaucoma,3
Secondary glaucoma,3
Hypercalcemia,3
Eosinophilic Pneumonia,3
Condylomata Acuminata,3
African Trypanosomiasis,3
Itching of ear,3
Cycloplegia,3
Non-Q wave myocardial infarction,3
Secondary malignant neoplasm of pancreas,3
Stevens-Johnson Syndrome,3
Polymyalgia Rheumatica,3
Pulmonary Fibrosis,3
Bacterial Vaginosis,3
Urinary Incontinence,3
Cytomegalovirus Retinitis,3
Adrenal Gland Hyperfunction,3
Chronic gouty arthritis,3
Lung Abscess,3
Ventricular Fibrillation,3
Paroxysmal atrial fibrillation,3
Branch retinal vein occlusion with macular edema,3
Central retinal vein occlusion with macular edema,3
Narcolepsy-Cataplexy Syndrome,3
Cholelithiasis,3
"Skin Diseases, Bacterial",3
Staphylococcal Skin Infections,3
leiomyosarcoma,3
"Angioedemas, Hereditary",3
Meniere Disease,3
Clostridium difficile infection,3
Clostridium Infections,3
Anxiety Disorders,3
"Leishmaniasis, Cutaneous",3
Hamman-Rich syndrome,3
Hyperphosphatemia (disorder),3
Arthropod bite wound,3
Burn injury,3
Opioid-Related Disorders,3
Kidney Diseases,3
Secondary malignant neoplasm of bone,3
Renal Pelvis and Ureter Urothelial Carcinoma,3
Urethral Carcinoma,3
advanced adult primary liver cancer,3
localized unresectable adult primary liver cancer,3
Cutaneous T-cell lymphoma stage IV,3
Esophageal neoplasm metastatic,3
Postpoliomyelitis Syndrome,3
Biliary Tract Cancer,3
stage I adult soft tissue sarcoma,3
stage II adult soft tissue sarcoma,3
refractory plasma cell neoplasm,3
Lymphoproliferative Disorders,3
Gram-Positive Bacterial Infections,3
stage III adult Burkitt's lymphoma,3
Graft-vs-Host Disease,3
childhood acute basophilic leukemia,3
childhood acute eosinophilic leukemia,3
childhood acute erythroleukemia (M6),3
childhood acute megakaryocytic leukemia (M7),3
childhood acute myeloblastic leukemia with maturation (M2),3
childhood acute myeloblastic leukemia without maturation (M1),3
childhood acute myelomonocytic leukemia (M4),3
untreated childhood acute myeloid leukemia and other myeloid malignancies,3
Coronary Artery Disease,3
Malnutrition,3
Liver Cirrhosis,3
Adenocarcinoma of lung (disorder),3
Large cell carcinoma of lung,3
Non-small cell lung cancer stage II,3
Mixed Oligodendroglioma-Astrocytoma,3
Chronic lymphocytic leukaemia stage 1,3
Chronic lymphocytic leukaemia stage 2,3
untreated adult acute lymphoblastic leukemia,3
Soft Tissue Infections,3
Painful Bladder Syndrome,3
Psychosexual Disorders,3
Unknown Primary Tumors,3
Myeloid Leukemia,3
Hyperemesis Gravidarum,3
Bipolar I disorder,3
CNS disorder,3
Brain Diseases,3
Nasopharyngeal squamous cell carcinoma recurrent,3
Laryngeal verrucous carcinoma stage III,3
Verrucous carcinoma of the oral cavity stage III,3
stage IV squamous cell carcinoma of the paranasal sinus and nasal cavity,3
Delirium,3
Neuroendocrine Tumors,3
Intracranial Meningioma,3
Renal Insufficiency,3
Ovarian Diseases,3
Hormone refractory prostate cancer,3
Methamphetamine abuse,3
Hepatitis C,3
Cerebral Hemorrhage,3
"Neoplasm, Residual",3
Radiodermatitis,3
Stage IV Skin Melanoma,3
multiple myeloma in relapse,3
"central nervous system tumor, pediatric",3
Non-small cell lung cancer stage III,3
Hematological Disease,3
Eosinophilic esophagitis,3
Acute leukemia in remission,3
Shoulder Pain,3
Shoulder Injuries,3
Disorder of shoulder,3
Disorder of rotator cuff,3
Disorder of tendon of biceps,3
Chemotherapeutic Agent Toxicity,3
Pervasive Development Disorder,3
Latent Tuberculosis,3
Infection in solid organ transplant recipients,3
Gastric carcinoma stage IV,3
Atypical Endometrial Hyperplasia,3
Endometrial adenocarcinoma,3
Recurrent Endometrial Cancer,3
Endometrial cancer stage II,3
Acute Cerebrovascular Accidents,3
Serous cystadenocarcinoma ovary,3
HSAN Type IV,3
Heparin-induced thrombocytopenia with thrombosis,2
Pituitary dwarfism,2
von Willebrand Disease,2
Peyronie Disease,2
Prader-Willi Syndrome,2
Secondary malignant neoplasm of female breast,2
"Gaucher Disease, Type 1",2
Congenital neutropenia,2
Cyclic neutropenia,2
Chronic idiopathic neutropenia,2
Respiratory Syncytial Virus Infections,2
Secondary malignant neoplasm of colon,2
Malignant tumor of peritoneum,2
Osteomalacia,2
Vitamin D-dependent rickets,2
Pellagra,2
Epileptic drop attack,2
Supraventricular tachycardia,2
Perioperative hypertension,2
"Keratitis, Dendritic",2
Mucocutaneous candidiasis,2
Pneumococcal pharyngitis,2
Toxoplasmosis associated with AIDS,2
Cerebrovascular Occlusion,2
Hairy Cell Leukemia,2
Ulcerative colitis in remission,2
Hyperprolactinemia,2
Leprosy,2
Scrub Typhus,2
Endemic Flea-Borne Typhus,2
Q fever endocarditis,2
Brill-Zinsser Disease,2
"Typhus, Epidemic Louse-Borne",2
Chlamydia Infections,2
Glioblastoma multiforme of brain,2
Nocardia Infections,2
Myxedema,2
Congenital Hypothyroidism,2
Goiter,2
Hypothyroidism,2
Osteolytic Lesions of Multiple Myeloma,2
Malignant tumor of cervix,2
Malignant essential hypertension,2
Patent ductus arteriosus,2
Shoulder tendinitis,2
Opioid withdrawal,2
Alopecia,2
Skin Ulcer,2
Treatment-resistant schizophrenia,2
Subarachnoid Hemorrhage,2
Secondary malignant neoplasm of kidney,2
Malignant epithelial neoplasm of thyroid,2
Tinea barbae,2
Salmonella sepsis,2
Paratyphoid Fever,2
Intractable hiccups,2
Disruptive Behavior Disorder,2
Ascites,2
Sialorrhea,2
Uric acid renal calculus,2
Gonococcal meningitis,2
Scalp Dermatoses,2
Choroidal retinal neovascularization,2
Choroidal Neovascularization,2
Varicosity,2
Bulimia Nervosa,2
Influenza due to Influenza A virus,2
Haemophilus influenzae type b infection,2
"Arthritis, Bacterial",2
Prostatic Neoplasms,2
Gilles de la Tourette syndrome,2
"Enterocolitis, Pseudomembranous",2
Pseudobulbar affect,2
Lymphoma,2
Rhabdomyosarcoma,2
Superficial basal cell carcinoma,2
Meningeal Leukemia,2
Osteosarcoma of bone,2
Chickenpox,2
Genital Herpes,2
Asymptomatic left ventricular systolic dysfunction,2
Amenorrhea,2
Pseudotumor Cerebri,2
Onchocerciasis,2
Strongyloidiasis,2
Quartan malaria,2
Ovale malaria,2
Alopecia Areata,2
Lichen Planus,2
"Ophthalmia, Sympathetic",2
Infection by Trichuris trichiura,2
Poisoning by pyrimethamine,2
Methotrexate poisoning,2
"Anemia, Megaloblastic",2
Poisoning by sulfadiazine,2
Dyspnea,2
Mucormycosis,2
"Leishmaniasis, Visceral",2
Leishmaniasis,2
Keratoconjunctivitis,2
Endomyometritis,2
Postnatal infection,2
Post-Traumatic Stress Disorder,2
Autistic Disorder,2
Amyotrophic Lateral Sclerosis,2
Chronic iron overload,2
Hyperkeratosis,2
Cerebrovascular Disorders,2
Vascular Diseases,2
Folliculitis,2
Citrobacter sepsis,2
Paronychia Inflammation,2
Furunculosis,2
Facial hyperpigmentation,2
Pseudomonas aeruginosa infection,2
Enterobacter infection,2
Klebsiella Infections,2
Tetanus,2
Pyoderma Gangrenosum,2
Erythema nodosum leprosum,2
Onychomycosis of fingernails,2
Hypoplastic anemia,2
Hepatolenticular Degeneration,2
Cystinuria,2
Ocular Rosacea,2
Hyponatremia,2
Malignant pericardial effusion,2
Malignant ascites,2
Acute amebiasis,2
Trichomonas Infections,2
"Liver Abscess, Amebic",2
"Hydatidiform mole, benign",2
Greasy skin,2
Low Cardiac Output Syndrome,2
"Conjunctivitis, Vernal",2
"Keratoconjunctivitis, Vernal",2
Plague,2
Meningococcus carrier,2
Chromoblastomycosis,2
Chronic idiopathic constipation,2
Irritable bowel syndrome characterized by constipation,2
Gonococcal joint infection,2
"Syphilis, Congenital",2
Neurosyphilis,2
"Syphilis, secondary",2
Rat-Bite Fever,2
"Syphilis, Latent",2
Pinta,2
Bejel,2
"Syphilis, tertiary",2
Primary genital syphilis,2
Gas gangrene caused by clostridium perfringens,2
Glaucoma,2
Schistosomiasis,2
Chronic tubotympanic suppurative otitis media,2
Helicobacter-associated gastritis,2
West Syndrome,2
Xerostomia,2
insulinoma,2
Paroxysmal atrial flutter,2
"Empyema, Pleural",2
Premature ventricular contractions,2
Brain Neoplasms,2
Crohn's disease in remission,2
Allergic otitis externa,2
Diabetic macular edema,2
Diabetic Retinopathy,2
Familial Mediterranean Fever,2
Anemia of prematurity,2
beta Thalassemia,2
Pneumococcal Infections,2
Streptococcal infection of skin,2
Body louse infestation,2
liposarcoma,2
Chronic idiopathic thrombocytopenic purpura,2
Angiolymphoid hyperplasia,2
Dry skin,2
"Urea Cycle Disorders, Inborn",2
Iron Overload,2
Basal cell carcinoma,2
Medullary carcinoma of thyroid,2
Myelofibrosis,2
Raynaud Disease,2
Onychomycosis due to Trichophyton mentagrophytes,2
Complex dyslipidemia,2
Injury wounds,2
Discoloration of skin,2
Heroin Dependence,2
Radiculitis,2
"soft tissue sarcoma, adult, stage IVA",2
"soft tissue sarcoma, adult, stage IIB",2
"soft tissue sarcoma, adult, stage IIC",2
Radiation Sickness,2
Precancerous Conditions,2
Adenomatous Polyposis Coli,2
"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",2
Cutaneous T-cell lymphoma stage III,2
Mycosis fungoides/Sezary syndrome stage III,2
Mycosis fungoides/Sezary syndrome stage IV,2
Neuroblastoma recurrent,2
stage IV adult Hodgkin's lymphoma,2
stage IV adult immunoblastic large cell lymphoma,2
stage IV adult lymphoblastic lymphoma,2
Adult T-cell lymphoma/leukaemia stage IV,2
stage IV adult diffuse small cleaved cell lymphoma,2
stage IV adult diffuse mixed cell lymphoma,2
stage IV grade 1 follicular lymphoma,2
stage IV grade 2 follicular lymphoma,2
stage IV grade 3 follicular lymphoma,2
Mantle cell lymphoma stage IV,2
Marginal zone lymphoma stage IV,2
diffuse adenocarcinoma of the stomach,2
intestinal adenocarcinoma of the stomach,2
mixed adenocarcinoma of the stomach,2
Oesophageal carcinoma recurrent,2
recurrent gastric cancer,2
Squamous cell carcinoma of esophagus,2
Stage IIIC Gastric Cancer,2
Neurotoxicity Syndromes,2
Peripheral Neuropathy,2
Recurrent Head and Neck Carcinoma,2
Head and neck cancer metastatic,2
Small cell lung cancer extensive stage,2
Small cell lung cancer recurrent,2
Diabetic Neuropathies,2
Reflex Sympathetic Dystrophy,2
Metastatic malignant neoplasm to brain,2
insular thyroid cancer,2
stage III follicular thyroid cancer,2
stage III papillary thyroid cancer,2
stage IV follicular thyroid cancer,2
Metastatic papillary thyroid carcinoma,2
Colonic Neoplasms,2
Rectal Neoplasms,2
Appendiceal Neoplasms,2
Peritoneal Neoplasms,2
Endocrine Gland Neoplasms,2
Primary Effusion Lymphoma,2
Malignant neoplasm of gastrointestinal tract,2
Adenomatous polyp of colon,2
Critical Illness,2
MYELODYSPLASTIC SYNDROME,2
Tobacco Dependence,2
"Neoplasms, Hormone-Dependent",2
Pregnancy associated hypertension,2
hypertension chronic,2
invasive aspergillosis,2
Urologic Neoplasms,2
Locally advanced breast cancer,2
"Leukemia, Myelomonocytic, Chronic",2
Fecal Incontinence,2
Prehypertension,2
Prediabetes syndrome,2
Overactive Bladder,2
"Respiratory Distress Syndrome, Adult",2
Premature Birth,2
Vulvar Vestibulitis,2
Esophageal Diseases,2
Hereditary Nonpolyposis Colorectal Cancer,2
Laryngeal Diseases,2
Advanced breast cancer,2
Hepatitis C recurrent,2
Primary peritoneal carcinoma,2
"Carcinoma, Large Cell",2
Brain Injuries,2
T-Cell Lymphoma,2
Esophageal carcinoma,2
Diverticulitis,2
"Malaria, antepartum",2
Adult T-Cell Lymphoma/Leukemia,2
Hepatitis B,2
Fungemia,2
Chorioamnionitis,2
Oxidative Stress,2
Endothelial dysfunction,2
metastatic squamous neck cancer with occult primary squamous cell carcinoma,2
Salivary gland cancer stage III,2
Salivary gland cancer stage IV,2
Laryngeal verrucous carcinoma stage IV,2
Verrucous carcinoma of the oral cavity stage IV,2
untreated metastatic squamous neck cancer with occult primary,2
Acute fungal otitis externa,2
Adrenal Gland Neoplasms,2
"orthostatic; hypotension, neurogenic",2
Gout acute,2
"Pneumonia, Viral",2
Polycystic Kidney Diseases,2
Respiratory Failure,2
B-cell small lymphocytic lymphoma stage I,2
B-cell small lymphocytic lymphoma stage II,2
Coronary Arteriosclerosis,2
Mesothelioma malignant advanced,2
"Epithelioid mesothelioma, malignant",2
Mesothelioma malignant recurrent,2
Sarcomatoid Mesothelioma,2
Acetaminophen overdose,2
HER2/Neu Negative,2
Carcinoma of Male Breast,2
Transformed migraine,2
Adult Mixed Glioma,2
Desmoplastic Small Round Cell Tumor,2
Neuroaspergillosis,2
Mucosal Melanoma,2
Brain Stem Neoplasms,2
Cardiovascular event,2
Malignant neoplasm of skin,2
Other reconstructive surgery,2
Fracture of lower leg,2
Transitional cell cancer of renal pelvis and ureter metastatic,2
unresectable extrahepatic bile duct cancer,2
unresectable gallbladder cancer,2
"Gait Disorders, Neurologic",2
Nonalcoholic Steatohepatitis,2
Adenocarcinoma of large intestine,2
Strawberry nevus of skin,2
"Lupus Erythematosus, Cutaneous",2
Dialysis Catheter Infection,2
colon cancer liver metastasis,2
Acinar cell carcinoma of pancreas,2
Preterm premature rupture of membranes (disorder),2
CRYPTOCOCCAL INFECTION DISSEMINATED,2
Prostate carcinoma,2
contiguous stage II adult Burkitt's lymphoma,2
noncontiguous stage II adult Burkitt's lymphoma,2
stage I adult Burkitt's lymphoma,2
Phobic anxiety disorder,2
"Medical abortion, complete or unspecified, without complication",2
Polycystic Ovary Syndrome,2
Stage IVA Oropharyngeal Squamous Cell Carcinoma,2
acute leukemia in relapse,2
Atrophy of vagina,2
Eosinophilic gastroenteritis,2
DS Stage I Plasma Cell Myeloma,2
DS Stage II Plasma Cell Myeloma,2
DS Stage III Plasma Cell Myeloma,2
Blood Coagulation Disorders,2
malignant neoplasm of large intestine stage IIIc,2
Pure Autonomic Failure,2
dopamine beta hydroxylase deficiency,2
Gastroenteritis,2
ST segment elevation myocardial infarction,2
Gallbladder Carcinoma,2
Pancreatic Ductal Adenocarcinoma,2
Stage IIIA Skin Melanoma,2
Stage IIIB Skin Melanoma,2
Squamous cell carcinoma of mouth,1
Squamous cell carcinoma of nose,1
Squamous cell carcinoma of pharynx,1
Laryngeal Squamous Cell Carcinoma,1
Ischemic stroke,1
Anemia due to chemotherapy,1
"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",1
Thrombasthenia,1
Factor VII Deficiency,1
Thrombocytopenia,1
Mucositis following radiation therapy,1
Drug-induced mucositis,1
Hypoglycemia,1
"Dupuytren's disease of finger, with contracture",1
Hidradenitis Suppurativa,1
Growth retardation,1
Turner Syndrome,1
Secondary malignant neoplasm of stomach,1
Right-sided Staphylococcus aureus endocarditis,1
Exocrine pancreatic insufficiency,1
Mucopolysaccharidosis I,1
Keratoconjunctivitis Sicca,1
Neuropathic diabetic ulcer - foot,1
Fabry Disease,1
Ischemic priapism,1
Nonsquamous nonsmall cell neoplasm of lung,1
Glioblastoma Multiforme,1
Cervix carcinoma,1
Malignant epithelial tumor of ovary,1
Malignant neoplasm of fallopian tube,1
Biotin deficiency disease,1
Age related macular degeneration,1
Meibomian gland dysfunction,1
Wernicke-Korsakoff Syndrome,1
Thiamine Deficiency,1
Vitamin D Deficiency,1
"Vitamin D-Resistant Rickets, X-Linked",1
Vitamin A Deficiency,1
Vitamin E Deficiency,1
"EPILEPSY, PYRIDOXINE-DEPENDENT",1
Vitamin B 6 Deficiency,1
Diphtheria,1
Legionnaires' Disease,1
Pertussis,1
Erythrasma,1
Apnea in the newborn,1
Pelvic inflammatory disease due to Mycoplasma hominis,1
"Hypotension, Orthostatic",1
Pneumonic Plague,1
"Plague, Septicemic",1
Chronic ulcerative rectosigmoiditis,1
Motor cortex epilepsy,1
"Thrombocythemia, Essential",1
Malignant neoplasm of brain,1
Endemic goiter,1
Myxedema coma,1
Urethritis,1
Malignant neoplasm of penis,1
FIGO stage finding for vulvar carcinoma,1
Acute bacterial peritonitis,1
Peptostreptococcus infection,1
Malignant neoplasm of liver,1
Primary malignant neoplasm of gastrointestinal tract,1
shoulder bursitis,1
Rheumatism,1
"Tuberculosis, Meningeal",1
"Tyrosinemia, Type I",1
Nutritional deficiency associated with AIDS,1
Chorioretinitis,1
"Toxoplasmosis, Congenital",1
Graves Disease,1
Poisoning by digitalis glycoside,1
Nasal Polyps,1
Liver carcinoma,1
Acute bacterial epiglottitis,1
Acute epiglottitis,1
Dysentery,1
"Niemann-Pick Disease, Type C",1
Hyperaldosteronism,1
Sinus bradycardia,1
Herpes simplex keratoconjunctivitis,1
Ecthyma gangrenosum,1
Salmonella infections,1
Hashimoto Disease,1
Ocular histoplasmosis syndrome,1
Arthritis,1
MUSCULOSKELETAL PAIN CHRONIC,1
Female stress incontinence,1
Diverticulitis of gastrointestinal tract,1
Osteomyelitis,1
Proteus meningitis,1
Bacterial meningitis due to Gram-negative bacteria,1
Pneumonia due to Gram negative bacteria,1
Upper gastrointestinal hemorrhage,1
Cryptosporidiosis,1
Staphylococcal enterocolitis,1
Echinococcus granulosus infection of liver,1
Echinococcus granulosus infection of lung,1
Neurocysticercosis,1
Echinococcus granulosus infection,1
Tinea manus,1
Lambert-Eaton Myasthenic Syndrome,1
Thyroid Crisis,1
Respiratory Depression,1
Glossopharyngeal Neuralgia,1
mixed; epileptic,1
Trigeminal Neuralgia,1
Pulmonary Thromboembolisms,1
Letterer-Siwe Disease,1
Malignant neoplasm of testis,1
Idiopathic hypertrophic subaortic stenosis,1
Hypertrophic Cardiomyopathy,1
Hemangioma,1
Carnitine deficiency,1
"Osteoarthritis, Knee",1
Choroiditis,1
Chronic eosinophilic leukemia,1
Dermatofibrosarcoma Protuberans,1
Idiopathic Hypereosinophilic Syndrome,1
Subacute bursitis,1
Necrobiosis Lipoidica Diabeticorum,1
Primary hypogonadism,1
Hypopituitarism,1
Malignant Pleural Mesothelioma,1
Gastrointestinal candidiasis,1
Carcinoma in situ of adrenal cortex,1
Eclampsia in pregnancy,1
Mild pre-eclampsia,1
Severe pre-eclampsia,1
anaphylaxis,1
Wheezing,1
Invasive Ductal Breast Carcinoma,1
Rhinocerebral phycomycosis,1
Fungal infection of lung,1
"Meningitis, Fungal",1
Pulmonary cryptococcosis,1
Fungal septicemia,1
Infection by Cryptococcus neoformans,1
Candidal meningitis,1
Candidal endocarditis,1
Disseminated sporotrichosis,1
Mycotic endocarditis,1
Urinary tract infection fungal,1
Agitation,1
Bladder pain,1
Paroxysmal hypertension,1
Acute monocytic leukemia,1
Acute Erythroblastic Leukemia,1
Acute pulmonary edema,1
Malignant neoplasm of esophagus,1
"Pain, Postoperative",1
Filarial Elephantiases,1
Loiasis,1
Elephantiasis,1
Common wart,1
"Larva Migrans, Cutaneous",1
Infection by Uncinaria,1
Toxocariasis,1
Organophosphate poisoning,1
Poisoning by iron AND/OR its compounds,1
Posterior synechiae,1
Senile lentigo,1
Acute ST segment elevation myocardial infarction (disorder),1
Congenital atresia of pulmonary valve,1
Tricuspid Atresia,1
Aortic coarctation,1
Tetralogy of Fallot,1
Enterocolitis,1
Urethral atrophy,1
Herpes simplex infection of skin,1
Herpes encephalitis,1
Herpes Simplex Infections,1
Myalgia,1
Polycythemia Vera,1
Malignant glaucoma,1
Peripheral edema,1
Altitude Sickness,1
Fungal conjunctivitis,1
Fungal keratitis,1
"Shock, Cardiogenic",1
Heart Decompensation,1
Dapsone resistant mycobacterium leprae disease,1
"Leprosy, Multibacillary",1
Nephropathic cystinosis,1
apprehension,1
Tension,1
Sjogren's Syndrome,1
"Aspergillosis, Allergic Bronchopulmonary",1
Extrinsic allergic alveolitis,1
Liver transplant rejection,1
Premature Obstetric Labor,1
Herpes zoster keratoconjunctivitis,1
Pulmonary lymphangioleiomyomatosis,1
Gingivitis,1
Female infertility,1
Hypertrichosis of eyelid,1
Bacteroides empyema,1
Infection due to anaerobic bacteria,1
Liver Abscess,1
Tubo-ovarian abscess,1
Brain Abscess,1
Meningitis due to Bacteroides,1
Bacterial enteritis,1
Plantar wart,1
Disorder of keratinization,1
Corns and callus,1
"Rhinitis, Allergic, Perennial",1
Allergic urticaria,1
Sitosterolemia,1
Platelet aggregation inhibition,1
anticholinergic toxicity,1
Metastatic Malignant Neoplasm to the Leptomeninges,1
Dementia associated with Parkinson's Disease,1
AIDS with Kaposi's sarcoma,1
"Conjunctivitis, Giant Papillary",1
Allergic keratoconjunctivitis,1
Hemoglobin SS disease with crisis,1
"Anemia, Sickle Cell",1
Nummular eczema,1
Infection by Campylobacter fetus,1
Factor II deficiency,1
Paracoccidioidomycosis,1
Dementia,1
Streptococcal toxic shock syndrome,1
Botulism,1
Pasteurella Infections,1
Infection by Pasteurella multocida,1
Abdominal actinomycosis,1
Latent yaws,1
Infection due to Erysipelothrix rhusiopathiae (disorder),1
Late latent syphilis,1
Listerial endocarditis,1
Pulmonary actinomycosis,1
Anthrax sepsis,1
"Pneumonia, Necrotizing",1
Cervicofacial actinomycosis,1
"Early latent syphilis, positive serology, negative cerebrospinal fluid, less than 2 years after infection",1
"Meningitis, Listeria",1
Tertiary lesion of yaws,1
Meningococcemia,1
Esotropia,1
Stargardt's disease,1
Opisthorchiasis,1
Staphylococcal pharyngitis,1
Staphylococcal tonsillitis,1
Neurogenic Urinary Bladder,1
Atrioventricular Block,1
Hypovolemic Shock,1
Tetany,1
Heterotopic Ossification,1
Endocarditis haemophilus,1
Tinea,1
Disseminated Intravascular Coagulation,1
Peripheral arterial embolism,1
Lyme Disease,1
Pulmonary Edema,1
Hyperinsulinism,1
Nesidioblastosis,1
Severe major depression with psychotic features,1
Nocturia,1
Suprapubic pain,1
Seasonal Affective Disorder,1
Intermittent Claudication,1
Acute myelomonocytic leukemia,1
Poisoning by opiate analgesic drug,1
Noonan Syndrome,1
Generalized Myotonia of Thomsen,1
Septicemia due to anaerobes,1
Gonococcal endocarditis,1
Septic arthritis haemophilus,1
Accidental poisoning by methyl alcohol,1
Ethylene glycol poisoning (disorder),1
"Alopecia, Male Pattern",1
Malignant hyperpyrexia due to anesthesia,1
Gastroparesis due to diabetes mellitus,1
Binge eating disorder,1
Superficial bacterial infection of skin,1
Paroxysmal nocturnal hemoglobinuria,1
Congenital hemolytic uremic syndrome,1
Mycetoma,1
Perianal warts,1
Mucopolysaccharidosis II,1
Generalized glycogen storage disease of infants,1
Laron Syndrome,1
Mucopolysaccharidosis VI,1
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,1
Precursor T-cell lymphoblastic lymphoma,1
Uterine Inertia,1
Exacerbation of multiple sclerosis,1
Breast Fibrocystic Disease,1
Chronic intestinal amebiasis,1
Supraventricular arrhythmia,1
Hyperparathyroidism,1
Neonatal hypocalcemia,1
Primary biliary cirrhosis,1
Angiomyolipoma of kidney,1
Tuberous Sclerosis,1
Salpingitis,1
Pelvic abscess,1
Severe chronic obstructive pulmonary disease,1
Biliary Tract Diseases,1
3-Beta-hydroxy-delta-5-C27-steroid dehydrogenase deficiency,1
Delta-4-3-oxosteroid-5-beta-reductase deficiency,1
"Xanthomatosis, Cerebrotendinous",1
Excess subcutaneous fat,1
Dermatomyositis,1
Morphea,1
Impacted cerumen,1
Lactose Intolerance,1
Photosensitivity of skin,1
Decompensated chronic heart failure,1
Hypoactive Sexual Desire Disorder,1
Erythropoietic Protoporphyria,1
Hepatic Veno-Occlusive Disease,1
Non-infective diarrhea,1
"Muscular Dystrophy, Duchenne",1
Gastric Adenocarcinoma,1
Systemic onset juvenile chronic arthritis,1
Deficiency of mevalonate kinase,1
TNF receptor-associated periodic fever syndrome (TRAPS),1
Cholecystitis,1
Inappropriate ADH Syndrome,1
"Polycystic Kidney, Autosomal Dominant",1
Postoperative ileus,1
Pain in spine,1
Sarcoma,1
Arterial embolus and thrombosis,1
Drug-induced osteoporosis,1
Hemorrhage,1
Homocystinuria,1
"Sucrase-isomaltase deficiency, congenital",1
Arsenic Poisoning,1
Thallium poisoning,1
Hypersomatotropic gigantism,1
Teniasis,1
Diphyllobothriasis,1
Carbamoyl-Phosphate Synthase I Deficiency Disease,1
Citrullinemia,1
"Cicatrix, Hypertrophic",1
Respiratory Tract Infections,1
Uterine Fibroids,1
Lipodystrophy due to Human immunodeficiency virus infection and antiretroviral therapy,1
Anaplastic large T-cell systemic malignant lymphoma,1
Vitreomacular traction syndrome,1
"Tuberculosis, Drug-Resistant",1
Chronic thromboembolic pulmonary hypertension,1
Acute onset pain,1
Mucocutaneous leishmaniasis,1
Squamous cell carcinoma of lung,1
Onychomycosis due to Trichophyton rubrum,1
Familial generalized lipodystrophy,1
Acquired generalized lipodystrophy,1
Acquired partial lipodystrophy,1
Acute otitis externa,1
"Mucopolysaccharidosis, MPS-IV-A",1
Pre B-cell acute lymphoblastic leukemia,1
Small Lymphocytic Lymphoma,1
