indication,n_candidates,n_approved,n_failed,drugs
Premature ventricular contractions,2,2,0,"Acebutolol, Encainide"
Crohn's disease in remission,2,2,0,"Budesonide, Desonide"
Allergic otitis externa,2,2,0,"Dexamethasone, Pramocaine"
Diabetic macular edema,2,2,0,"Aflibercept, Ranibizumab"
Familial Mediterranean Fever,2,2,0,"Canakinumab, Colchicine"
Anemia of prematurity,2,2,0,"Iron, Sodium ferric gluconate complex"
beta Thalassemia,2,2,0,"Deferasirox, Deferiprone"
Pneumococcal Infections,2,2,0,"Fusidic Acid, Lincomycin"
Streptococcal infection of skin,2,2,0,"Oritavancin, Tedizolid Phosphate"
Body louse infestation,2,2,0,"Permethrin, Piperonyl butoxide"
liposarcoma,2,2,0,"Eribulin, Trabectedin"
Chronic idiopathic thrombocytopenic purpura,2,2,0,"Eltrombopag, Romiplostim"
Angiolymphoid hyperplasia,2,2,0,"Siltuximab, Tocilizumab"
Dry skin,2,2,0,"Ammonium lactate, Pramocaine"
"Urea Cycle Disorders, Inborn",2,2,0,"Glycerol Phenylbutyrate, Sodium phenylbutyrate"
Basal cell carcinoma,2,2,0,"Sonidegib, Vismodegib"
Raynaud Disease,2,2,0,"Isoxsuprine, Moxisylyte"
Onychomycosis due to Trichophyton mentagrophytes,2,2,0,"Efinaconazole, Tavaborole"
Complex dyslipidemia,2,2,0,"Alirocumab, Evolocumab"
Injury wounds,2,2,0,"Pramocaine, Zinc oxide"
Discoloration of skin,2,2,0,"Hydroquinone, Octinoxate"
Patent ductus arteriosus,2,1,1,"Ibuprofen, Indomethacin"
Alopecia,2,1,1,"Minoxidil, Norepinephrine"
Subarachnoid Hemorrhage,2,1,1,"Deferoxamine, Nimodipine"
Ascites,2,1,1,"Eplerenone, Spironolactone"
Choroidal retinal neovascularization,2,1,1,"Imatinib, Verteporfin"
Choroidal Neovascularization,2,1,1,"Imatinib, Verteporfin"
Bulimia Nervosa,2,1,1,"Acetylcysteine, Fluoxetine"
Lymphoma,2,1,1,"Cyclophosphamide, Pegfilgrastim"
Alopecia Areata,2,1,1,"Abatacept, Triamcinolone"
Lichen Planus,2,1,1,"Alefacept, Triamcinolone"
Dyspnea,2,1,1,"Caffeine, Epinephrine"
Amyotrophic Lateral Sclerosis,2,1,1,"Pioglitazone, Riluzole"
Pyoderma Gangrenosum,2,1,1,"Adalimumab, Clofazimine"
Xerostomia,2,1,1,"Cisplatin, Pilocarpine"
insulinoma,2,1,1,"Diazoxide, Romidepsin"
Brain Neoplasms,2,1,1,"Bevacizumab, Lomustine"
Diabetic Retinopathy,2,1,1,"Octreotide, Ranibizumab"
Iron Overload,2,1,1,"Deferasirox, Deferiprone"
Medullary carcinoma of thyroid,2,1,1,"Cabozantinib, Sorafenib"
Myelofibrosis,2,1,1,"Ruxolitinib, Teriparatide"
Juvenile arthritis,3,3,0,"Abatacept, Adalimumab, Etanercept"
Precocious Puberty,3,3,0,"Histrelin, Leuprolide, Nafarelin"
Acute myocardial infarction,3,3,0,"Alteplase, Reteplase, Tenecteplase"
Cryopyrin-Associated Periodic Syndromes,3,3,0,"Anakinra, Canakinumab, Rilonacept"
Bedwetting,3,3,0,"Desmopressin, Imipramine, Vasopressin"
Hemophilia B,3,3,0,"Coagulation Factor IX, Coagulation factor VIIa Recombinant Human, Eftrenonacog alfa"
Metastatic Renal Cell Cancer,3,3,0,"Aldesleukin, Bevacizumab, Nivolumab"
HER2-positive carcinoma of breast,3,3,0,"Pertuzumab, Trastuzumab, Trastuzumab emtansine"
Incomplete spontaneous abortion,3,3,0,"Dinoprost Tromethamine, Dinoprostone, Oxytocin"
Megaloblastic anemia due to folate deficiency,3,3,0,"Cyanocobalamin, Folic Acid, Iron"
"Anemia, Pernicious",3,3,0,"Cyanocobalamin, Hydroxocobalamin, Thiamine"
Vitamin B 12 Deficiency,3,3,0,"Cyanocobalamin, Hydroxocobalamin, Thiamine"
Renal Osteodystrophy,3,3,0,"Alfacalcidol, Calcidiol, Calcitriol"
Poisoning by acetaminophen,3,3,0,"Acetylcysteine, Cysteine hydrochloride, L-Cysteine"
Amyloidosis,3,3,0,"Acetylcysteine, Cysteine hydrochloride, L-Cysteine"
Folic Acid Deficiency,3,3,0,"Folic Acid, Leucovorin, Levoleucovorin"
Diabetic peripheral neuropathy,3,3,0,"Duloxetine, Lipoic Acid, Pregabalin"
Muscle spasticity of spinal origin,3,3,0,"Baclofen, Dantrolene, Tizanidine"
"Keratitis, Herpetic",3,3,0,"Idoxuridine, Trifluridine, Vidarabine"
Septicemia candida,3,3,0,"Amphotericin B, Fluconazole, Micafungin"
Hepatic Coma,3,3,0,"Erythromycin, Neomycin, Paromomycin"
Toxoplasmosis,3,3,0,"Pyrimethamine, Sulfadiazine, Sulfamethoxazole"
Pulmonary Mycobacterium avium complex infection,3,3,0,"Azithromycin, Clarithromycin, Rifabutin"
Hypoalphalipoproteinemias,3,3,0,"Fenofibrate, Lovastatin, Simvastatin"
Chronic ulcerative proctitis,3,3,0,"Cortisone acetate, Hydrocortisone, Mesalazine"
Cutaneous anthrax,3,3,0,"Benzylpenicillin, Doxycycline, Fusidic Acid"
Cholera,3,3,0,"Doxycycline, Fusidic Acid, Minocycline"
Boutonneuse Fever,3,3,0,"Chloramphenicol, Doxycycline, Fusidic Acid"
Rickettsia Infections,3,3,0,"Chloramphenicol, Doxycycline, Fusidic Acid"
Gastrointestinal anthrax,3,3,0,"Benzylpenicillin, Doxycycline, Fusidic Acid"
Bartonella Infections,3,3,0,"Doxycycline, Fusidic Acid, Minocycline"
Disorder of electrolytes,3,3,0,"Calcium Acetate, Calcium Chloride, Calcium Gluceptate"
Hypermagnesemia,3,3,0,"Calcium Acetate, Calcium Chloride, Calcium Gluceptate"
Hypocalcemic tetany,3,3,0,"Calcium Acetate, Calcium Chloride, Calcium Gluceptate"
Vulvovaginitis,3,3,0,"Sulfacetamide, Sulfanilamide, Sulfathiazole"
Thromboembolism,3,3,0,"Dicoumarol, Phenprocoumon, Warfarin"
Thrombosis,3,3,0,"Dicoumarol, Phenprocoumon, Warfarin"
Cerebral Embolism,3,3,0,"Clopidogrel, Dicoumarol, Warfarin"
Lung diseases,3,3,0,"Aminophylline, Pirbuterol, Theophylline"
Asthma night-time symptoms,3,3,0,"Aminophylline, Dyphylline, Theophylline"
Asthma-chronic obstructive pulmonary disease overlap syndrome,3,3,0,"Aminophylline, Dyphylline, Theophylline"
Malignant neoplasm of thyroid,3,3,0,"Doxorubicin, Levothyroxine, Liothyronine"
Dyspareunia,3,3,0,"Conjugated Estrogens, Dienestrol, Ospemifene"
"Pleural Effusion, Malignant",3,3,0,"Bleomycin, Mechlorethamine, Thiotepa"
Miscarriage with sepsis,3,3,0,"Ertapenem, Norfloxacin, Trovafloxacin"
Cerebral Ischemia,3,3,0,"Papaverine, Pentobarbital, Phentolamine"
Epidermal growth factor receptor positive non-small cell lung cancer,3,3,0,"Afatinib, Gefitinib, Osimertinib"
Septicemia due to enterococcus,3,3,0,"Ampicillin, Benzylpenicillin, Piperacillin"
Rectal pain,3,3,0,"Phenylephrine, Pramocaine, Zinc oxide"
Metrorrhagia,3,3,0,"Medroxyprogesterone acetate, Norethisterone, Progesterone"
Secondary physiologic amenorrhea,3,3,0,"Medroxyprogesterone acetate, Norethisterone, Progesterone"
Tinea Capitis,3,3,0,"Griseofulvin, Terbinafine, Tolnaftate"
Impetigo,3,3,0,"Cefuroxime, Mupirocin, Retapamulin"
pharyngitis due to Haemophilus influenzae,3,3,0,"Amoxicillin, Ampicillin, Demeclocycline"
Bacterial Endocarditis,3,3,0,"Ampicillin, Benzylpenicillin, Vancomycin"
Acute intermittent porphyria,3,3,0,"Chlorpromazine, Hemin, Promazine"
Initial insomnia,3,3,0,"Ramelteon, Zaleplon, Zolpidem"
Calcium renal calculus,3,3,0,"Allopurinol, Potassium Citrate, Sodium phosphate, monobasic, monohydrate"
Alcohol Withdrawal Delirium,3,3,0,"Chlordiazepoxide, Diazepam, Oxazepam"
Alcohol withdrawal syndrome,3,3,0,"Chlordiazepoxide, Clorazepate, Diazepam"
Klebsiella sepsis,3,3,0,"Amikacin, Fusidic Acid, Gentamicin"
Pseudomonas aeruginosa meningitis,3,3,0,"Amikacin, Fusidic Acid, Gentamicin"
Meningitis due to Klebsiella mobilis,3,3,0,"Amikacin, Cefotaxime, Ceftriaxone"
Staphylococcal Infections,3,3,0,"Nafcillin, Oxacillin, Vancomycin"
Acute osteomyelitis,3,3,0,"Ciprofloxacin, Norfloxacin, Ofloxacin"
Enteric campylobacteriosis,3,3,0,"Ciprofloxacin, Norfloxacin, Ofloxacin"
Nephroblastoma,3,3,0,"Dactinomycin, Doxorubicin, Vincristine"
Myasthenia Gravis,3,3,0,"Ambenonium, Neostigmine, Pyridostigmine"
Complicated appendicitis,3,3,0,"Doripenem, Meropenem, Tigecycline"
Gestational Trophoblastic Neoplasms,3,3,0,"Dactinomycin, Methotrexate, Vinblastine"
Accidental poisoning by lead and its compounds and fumes,3,3,0,"Dimercaprol, Edetic Acid, Succimer"
Hyperammonemia,3,3,0,"Benzoic Acid, Lactulose, Phenylacetic acid"
Fusariosis,3,3,0,"Itraconazole, Posaconazole, Voriconazole"
Congestive heart failure,3,3,0,"Enalapril, Enalaprilat, Levosimendan"
Enterobiasis,3,3,0,"Mebendazole, Piperazine, Thiabendazole"
Ascariasis,3,3,0,"Mebendazole, Piperazine, Thiabendazole"
"Leukemia, Myeloid, Chronic-Phase",3,3,0,"Dasatinib, Imatinib, Nilotinib"
Blast Phase,3,3,0,"Bosutinib, Dasatinib, Imatinib"
Philadelphia chromosome-positive acute lymphoblastic leukemia,3,3,0,"Dasatinib, Imatinib, Ponatinib"
Gastrointestinal Stromal Tumors,3,3,0,"Imatinib, Regorafenib, Sunitinib"
Keloid,3,3,0,"Dexamethasone, Tranilast, Triamcinolone"
Gingival Diseases,3,3,0,"Cortisone acetate, Hydrocortisone, Triamcinolone"
Cryptorchidism,3,3,0,"Fluoxymesterone, Testosterone, Testosterone Propionate"
Klinefelter Syndrome,3,3,0,"Fluoxymesterone, Testosterone, Testosterone Propionate"
Amebiasis,3,3,0,"Diiodohydroxyquinoline, Diloxanide, Sulfacetamide"
Alzheimer's Disease,3,3,0,"Donepezil, Galantamine, Rivastigmine"
Diabetic Nephropathy,3,3,0,"Captopril, Irbesartan, Losartan"
Coccidioidomycosis,3,3,0,"Amphotericin B, Ketoconazole, Posaconazole"
Histoplasmosis,3,3,0,"Amphotericin B, Itraconazole, Ketoconazole"
Blastomycosis,3,3,0,"Amphotericin B, Itraconazole, Ketoconazole"
Female pelvic cellulitis,3,3,0,"Cefoxitin, Norfloxacin, Trovafloxacin"
Hypertensive emergency,3,3,0,"Diazoxide, Phentolamine, Trimethaphan"
Pheochromocytoma,3,3,0,"Metyrosine, Phenoxybenzamine, Phentolamine"
Angle Closure Glaucoma,3,3,0,"Acetazolamide, Diclofenamide, Methazolamide"
Secondary glaucoma,3,3,0,"Acetazolamide, Diclofenamide, Methazolamide"
Eosinophilic Pneumonia,3,3,0,"Diethylcarbamazine, Mepolizumab, Prednisolone"
Condylomata Acuminata,3,3,0,"Imiquimod, Podofilox, Sinecatechins"
African Trypanosomiasis,3,3,0,"Eflornithine, Pentamidine, Suramin"
Itching of ear,3,3,0,"Cortisone acetate, Hydrocortisone, Pramocaine"
Cycloplegia,3,3,0,"Cyclopentolate, Scopolamine, Tropicamide"
Non-Q wave myocardial infarction,3,3,0,"Clopidogrel, Heparin, Tirofiban"
Bacterial Vaginosis,3,3,0,"Clindamycin, Metronidazole, Tinidazole"
Adrenal Gland Hyperfunction,3,3,0,"Ketoconazole, Pasireotide, Trilostane"
Chronic gouty arthritis,3,3,0,"Colchicine, Probenecid, Sulfinpyrazone"
Lung Abscess,3,3,0,"Benzylpenicillin, Cefoxitin, Ticarcillin"
Paroxysmal atrial fibrillation,3,3,0,"Dronedarone, Flecainide, Propafenone"
Branch retinal vein occlusion with macular edema,3,3,0,"Aflibercept, Dexamethasone, Ranibizumab"
Central retinal vein occlusion with macular edema,3,3,0,"Aflibercept, Dexamethasone, Ranibizumab"
Narcolepsy-Cataplexy Syndrome,3,3,0,"Gamma Hydroxybutyric Acid, Sodium oxybate, Viloxazine"
Cholelithiasis,3,3,0,"Chenodeoxycholic acid, Cholic Acid, Ursodeoxycholic acid"
"Skin Diseases, Bacterial",3,3,0,"Dalbavancin, Oritavancin, Tedizolid Phosphate"
Staphylococcal Skin Infections,3,3,0,"Dalbavancin, Oritavancin, Tedizolid Phosphate"
"Angioedemas, Hereditary",3,3,0,"Ecallantide, Icatibant, Stanozolol"
Arthropod bite wound,3,3,0,"Dexpanthenol, Pramocaine, Zinc oxide"
Short Bowel Syndrome,3,2,1,"Glucagon recombinant, L-Glutamine, Teduglutide"
Neuralgia,3,2,1,"Capsaicin, Lidocaine, Pregabalin"
Malignant neoplasm of stomach stage IV,3,2,1,"Doxorubicin, Mitomycin, Panobinostat"
Appendicitis,3,2,1,"Piperacillin, Ropivacaine, Tazobactam"
Malignant neoplasm of urinary bladder,3,2,1,"Mitomycin, Thiotepa, Valrubicin"
Chronic schizophrenia,3,2,1,"Amisulpride, Haloperidol, Memantine"
Vitiligo,3,2,1,"Methoxsalen, Tacrolimus, Trioxsalen"
Giant Cell Arteritis,3,2,1,"Infliximab, Prednisolone, Triamcinolone"
Hypercalcemia,3,2,1,"Cholecalciferol, Edetic Acid, Ibandronate"
Secondary malignant neoplasm of pancreas,3,2,1,"Gemcitabine, Irinotecan, Paclitaxel"
Stevens-Johnson Syndrome,3,2,1,"Corticotropin, Infliximab, Prednisolone"
Urinary Incontinence,3,2,1,"Flavoxate, Methantheline, Tolterodine"
Ventricular Fibrillation,3,2,1,"Amiodarone, Bretylium, Metoprolol"
Hyperphosphatemia (disorder),3,2,1,"Ferric Citrate, Sevelamer, Sucroferric Oxyhydroxide"
Burn injury,3,2,1,"Heparin, Pramocaine, Zinc oxide"
Malignant Carcinoid Syndrome,3,1,2,"Dopamine, Octreotide, Somatostatin"
"Meningitis, Cryptococcal",3,1,2,"Amphotericin B, Fluconazole, Flucytosine"
Classical phenylketonuria,3,1,2,"Sapropterin, Verapamil"
Polymyalgia Rheumatica,3,1,2,"Prednisolone, Prednisone"
Pulmonary Fibrosis,3,1,2,"Azathioprine, Prednisolone, Treprostinil"
Cytomegalovirus Retinitis,3,1,2,"Cidofovir, Foscarnet, Ganciclovir"
leiomyosarcoma,3,1,2,"Docetaxel, Gemcitabine, Trabectedin"
Meniere Disease,3,1,2,"Betahistine, Famciclovir, Penciclovir"
Clostridium difficile infection,3,1,2,"Fidaxomicin, Nitazoxanide, Vancomycin"
Clostridium Infections,3,1,2,"Fidaxomicin, Nitazoxanide, Vancomycin"
Anxiety Disorders,3,1,2,"Captodiame, Paroxetine, Venlafaxine"
"Leishmaniasis, Cutaneous",3,1,2,"Fluconazole, Miltefosine, Paromomycin"
Hamman-Rich syndrome,3,1,2,"Nintedanib, Treprostinil, Warfarin"
