drug_name,chembl_id,target_chembl_id,target_name,standard_type,standard_value,standard_units,assay_description,value_nM
Oxytocin,CHEMBL395429,CHEMBL1790,Vasopressin V2 receptor,Ki,3500.0,nM,Binding affinity towards human Vasopressin V2 receptor,3500.0
Oxytocin,CHEMBL395429,CHEMBL2049,Oxytocin receptor,IC50,2.7,nM,Displacement of [3H]OT from human OT receptor expressed in HEK cells,2.7
Oxytocin,CHEMBL395429,CHEMBL613647,Myometrium,EC50,1.7,nM,Induction of contraction in beta-estradiol stimulated rat myometrium,1.7
Oxytocin,CHEMBL395429,CHEMBL2049,Oxytocin receptor,Ki,6.8,nM,Binding affinity to oxytocin receptor,6.8
Oxytocin,CHEMBL395429,CHEMBL1889,Vasopressin V1a receptor,Ki,34.9,nM,Binding affinity to vasopressin V1a receptor,34.9
Oxytocin,CHEMBL395429,CHEMBL368,Trypanosoma cruzi,IC50,,,Antimicrobial activity against Trypanosoma cruzi,
Oxytocin,CHEMBL395429,CHEMBL612348,Trypanosoma brucei rhodesiense,IC50,,,Antimicrobial activity against Trypanosoma brucei rhodesiense,
Oxytocin,CHEMBL395429,CHEMBL612851,Trypanosoma brucei brucei,IC50,,,Antimicrobial activity against Trypanosoma brucei brucei,
Oxytocin,CHEMBL395429,CHEMBL612849,Trypanosoma brucei,IC50,,,Antimicrobial activity against Trypanosoma brucei,
Oxytocin,CHEMBL395429,CHEMBL612884,Trichomonas vaginalis,IC50,,,Antimicrobial activity against Trichomonas vaginalis,
Oxytocin,CHEMBL395429,CHEMBL612888,Toxoplasma gondii,IC50,,,Antimicrobial activity against Toxoplasma gondii,
Oxytocin,CHEMBL395429,CHEMBL613064,Pneumocystis carinii,IC50,,,Antimicrobial activity against Pneumocystis carinii,
Oxytocin,CHEMBL395429,CHEMBL364,Plasmodium falciparum,IC50,,,Antimicrobial activity against Plasmodium falciparum,
Oxytocin,CHEMBL395429,CHEMBL2366686,Leishmania,IC50,,,Antimicrobial activity against Leishmania,
Oxytocin,CHEMBL395429,CHEMBL612880,Leishmania mexicana,IC50,,,Antimicrobial activity against Leishmania mexicana,
Oxytocin,CHEMBL395429,CHEMBL612879,Leishmania major,IC50,,,Antimicrobial activity against Leishmania major,
Oxytocin,CHEMBL395429,CHEMBL612848,Leishmania infantum,IC50,,,Antimicrobial activity against Leishmania infantum,
Oxytocin,CHEMBL395429,CHEMBL367,Leishmania donovani,IC50,,,Antimicrobial activity against Leishmania donovani,
Oxytocin,CHEMBL395429,CHEMBL612877,Leishmania amazonensis,IC50,,,Antimicrobial activity against Leishmania amazonensis,
Oxytocin,CHEMBL395429,CHEMBL612853,Entamoeba histolytica,IC50,,,Antimicrobial activity against Entamoeba histolytica,
Oxytocin,CHEMBL395429,CHEMBL612855,Cryptosporidium parvum,IC50,,,Antimicrobial activity against Cryptosporidium parvum,
Oxytocin,CHEMBL395429,CHEMBL2049,Oxytocin receptor,Ki,0.79,nM,Displacement of [3H]OT from oxytocin receptor expressed in COS1 cells,0.79
Oxytocin,CHEMBL395429,CHEMBL2049,Oxytocin receptor,EC50,15.0,nM,Activity at oxytocin receptor expressed in COS1 cells assessed as IP-one generation by HTRF assay,15.0
Oxytocin,CHEMBL395429,CHEMBL1921,Vasopressin V1b receptor,EC50,24.5,nM,Agonist activity at human vasopressin V1b receptor expressed CHO cells assessed as induction of phospholipase C activity after 15 mins by inositol phosphate accumulation assay,24.5
Oxytocin,CHEMBL395429,CHEMBL2049,Oxytocin receptor,EC50,10.8,nM,Agonist activity at human oxytocin receptor expressed CHO cells assessed as induction of phospholipase C activity after 15 mins by inositol phosphate accumulation assay,10.8
